A0A0H2VCA1	PGA_scaffold53906__1_contigs__length_4067:460-2508	Autotransporter adhesin UpaG
A0A0R4I9Y1	PGA_scaffold68845__1_contigs__length_27874:9579-15264	E3 ubiquitin-protein ligase rnf213-beta (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-B) (Mysterin-beta) (RING finger protein 213-B) (RING finger protein 213-beta) (RING-type E3 ubiquitin transferase rnf213-beta)
A0A0R4IBK5	PGA_scaffold109922__1_contigs__length_7520:418-6393	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold109923__1_contigs__length_7520:1127-7102	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold109926__1_contigs__length_6624:416-6381	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold109929__1_contigs__length_6624:243-6208	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold290060__1_contigs__length_49220:39966-48597	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold290061__1_contigs__length_48647:39855-48024	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold290062__1_contigs__length_49220:623-9254	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold290063__1_contigs__length_48647:623-8792	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold290069__1_contigs__length_1321:923-1181	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold290072__1_contigs__length_1321:923-1181	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold290078__1_contigs__length_1321:140-398	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold290081__1_contigs__length_1321:140-398	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold3__111_contigs__length_57743597:18158979-18174513	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold3__111_contigs__length_57743597:18255601-18321220	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold3__111_contigs__length_57743597:18392157-18395143	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold3__111_contigs__length_57743597:18604605-18606011	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold3__111_contigs__length_57743597:19062908-19066234	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A0R4IBK5	PGA_scaffold55780__1_contigs__length_1355:454-766	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)
A0A159BP93	PGA_scaffold4__129_contigs__length_65288255:1081761-1082754	2-oxoglutarate-dependent dioxygenase citB (EC 1.14.-.-) (Citrinin synthesis protein B)
A0A1F4	PGA_scaffold6136__1_contigs__length_9993:1916-8602	Protein eyes shut (Protein spacemaker)
A0AUT1	PGA_scaffold6__104_contigs__length_61759565:47764032-47784952	Trichoplein keratin filament-binding protein (Protein TCHP)
A0AVF1	PGA_scaffold224545__1_contigs__length_16902:9706-15941	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)
A0AVF1	PGA_scaffold224546__1_contigs__length_16902:961-7196	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)
A0AVF1	PGA_scaffold224547__1_contigs__length_16266:9736-15307	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)
A0AVF1	PGA_scaffold224550__1_contigs__length_16266:959-6530	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)
A0AVF1	PGA_scaffold227023__1_contigs__length_16902:9706-15941	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)
A0AVF1	PGA_scaffold227024__1_contigs__length_16902:961-7196	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)
A0AVF1	PGA_scaffold227025__1_contigs__length_16266:9736-15307	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)
A0AVF1	PGA_scaffold227028__1_contigs__length_16266:959-6530	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)
A0JM12	PGA_scaffold20387__1_contigs__length_5076:41-4987	Multiple epidermal growth factor-like domains protein 10 (Multiple EGF-like domains protein 10)
A0JM12	PGA_scaffold20556__1_contigs__length_17954:4-805	Multiple epidermal growth factor-like domains protein 10 (Multiple EGF-like domains protein 10)
A0JM12	PGA_scaffold52390__1_contigs__length_35773:27370-34607	Multiple epidermal growth factor-like domains protein 10 (Multiple EGF-like domains protein 10)
A0JM12	PGA_scaffold528__1_contigs__length_6391:213-876	Multiple epidermal growth factor-like domains protein 10 (Multiple EGF-like domains protein 10)
A0JM13	PGA_scaffold4__129_contigs__length_65288255:25786246-25806731	C2 domain-containing protein 3
A0JM23	PGA_scaffold72006__1_contigs__length_8176:5983-8174	Nephrocystin-3
A0JMU5	PGA_scaffold4__129_contigs__length_65288255:4055010-4085383	Protein arginine N-methyltransferase 9 (Protein arginine N-methyltransferase 10) (EC 2.1.1.320)
A0JNB1	PGA_scaffold464__1_contigs__length_37366:14478-17478	Zinc finger protein 227
A0JNC4	PGA_scaffold16235__1_contigs__length_4626:1785-3353	Elongation of very long chain fatty acids protein 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)
A0JNG7	PGA_scaffold12__71_contigs__length_50438331:42801765-42801930	Protein FAM160B1
A0JNG7	PGA_scaffold12__71_contigs__length_50438331:42808273-42830085	Protein FAM160B1
A0JPA0	PGA_scaffold12__71_contigs__length_50438331:12522230-12523097	Metal transporter CNNM4 (Ancient conserved domain-containing protein 4) (Cyclin-M4)
A0JPE9	PGA_scaffold307204__1_contigs__length_16415:3713-15262	Putative glycerol kinase 5 (GK 5) (Glycerokinase 5) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 5)
A0JPE9	PGA_scaffold307206__1_contigs__length_16415:1153-12702	Putative glycerol kinase 5 (GK 5) (Glycerokinase 5) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 5)
A0JPQ7	PGA_scaffold65427__1_contigs__length_16157:10372-15838	Uncharacterized protein C19orf47 homolog
A0KDV2	PGA_scaffold6__104_contigs__length_61759565:4183205-4184489	L-rhamnonate dehydratase (RhamD) (EC 4.2.1.90)
A0QV10	PGA_scaffold64348__1_contigs__length_27043:7957-9338	Uncharacterized oxidoreductase MSMEG_2408/MSMEI_2347 (EC 1.-.-.-)
A0RQR9	PGA_scaffold4__129_contigs__length_65288255:27415505-27416831	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]
A0RQR9	PGA_scaffold4__129_contigs__length_65288255:27417183-27420580	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]
A1A4R8	PGA_scaffold296682__1_contigs__length_45988:2774-3934	Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8)
A1A4R8	PGA_scaffold296683__1_contigs__length_45988:42054-43214	Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8)
A1A4R8	PGA_scaffold296686__1_contigs__length_25146:2774-3934	Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8)
A1A4R8	PGA_scaffold296687__1_contigs__length_25146:21212-22372	Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8)
A1A4R8	PGA_scaffold296690__1_contigs__length_8726:7491-8660	Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8)
A1A4R8	PGA_scaffold296691__1_contigs__length_8742:7505-8676	Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8)
A1A4R8	PGA_scaffold296692__1_contigs__length_8726:66-1235	Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8)
A1A4R8	PGA_scaffold296693__1_contigs__length_8742:66-1237	Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8)
A1A5G0	PGA_scaffold105160__1_contigs__length_7316:1152-5368	CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1)
A1A5G0	PGA_scaffold105163__1_contigs__length_7316:1948-6164	CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1)
A1A5G0	PGA_scaffold116551__1_contigs__length_7316:1152-5368	CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1)
A1A5G0	PGA_scaffold116554__1_contigs__length_7316:1948-6164	CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1)
A1ADJ6	PGA_scaffold18__69_contigs__length_27737463:10336975-10337230	Polysialic acid O-acetyltransferase (EC 2.3.1.136) (Capsule O-acetyl transferase)
A1ADJ6	PGA_scaffold18__69_contigs__length_27737463:3765175-3765596	Polysialic acid O-acetyltransferase (EC 2.3.1.136) (Capsule O-acetyl transferase)
A1BDF1	PGA_scaffold283002__1_contigs__length_2688:862-1674	Translation initiation factor IF-2
A1BDF1	PGA_scaffold283003__1_contigs__length_2688:1014-1826	Translation initiation factor IF-2
A1BDF1	PGA_scaffold286746__1_contigs__length_2688:862-1674	Translation initiation factor IF-2
A1BDF1	PGA_scaffold286747__1_contigs__length_2688:1014-1826	Translation initiation factor IF-2
A1BDF1	PGA_scaffold31108__1_contigs__length_1136:0-665	Translation initiation factor IF-2
A1BDF1	PGA_scaffold4__129_contigs__length_65288255:35038671-35039112	Translation initiation factor IF-2
A1BDF1	PGA_scaffold7292__1_contigs__length_2608:540-1321	Translation initiation factor IF-2
A1DWM3	PGA_scaffold39626__1_contigs__length_3225:1390-2419	Major facilitator superfamily domain-containing protein 6 (Macrophage MHC class I receptor 2 homolog)
A1E2V0	PGA_scaffold89003__1_contigs__length_10045:9351-9468	Baculoviral IAP repeat-containing protein 3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BIRC3)
A1E2V0	PGA_scaffold89004__1_contigs__length_10045:577-694	Baculoviral IAP repeat-containing protein 3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BIRC3)
A1L0Y2	PGA_scaffold6__104_contigs__length_61759565:21670570-21674985	Neuralized-like protein 4
A1L112	PGA_scaffold78672__1_contigs__length_16523:2643-13458	WD repeat-containing protein 55
A1L112	PGA_scaffold78673__1_contigs__length_16523:3065-13880	WD repeat-containing protein 55
A1L112	PGA_scaffold78674__1_contigs__length_17410:2643-13342	WD repeat-containing protein 55
A1L112	PGA_scaffold78675__1_contigs__length_17410:4068-14767	WD repeat-containing protein 55
A1L1C5	PGA_scaffold6__104_contigs__length_61759565:15637108-15639460	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (OHCU decarboxylase) (EC 4.1.1.97) (Parahox neighbor) (Ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase)
A1L1R5	PGA_scaffold230430__1_contigs__length_3493:1292-2345	Protein tyrosine phosphatase domain-containing protein 1 (EC 3.1.3.-)
A1L1R5	PGA_scaffold230431__1_contigs__length_3480:1288-2333	Protein tyrosine phosphatase domain-containing protein 1 (EC 3.1.3.-)
A1L1R5	PGA_scaffold230433__1_contigs__length_3493:1148-2201	Protein tyrosine phosphatase domain-containing protein 1 (EC 3.1.3.-)
A1L1R5	PGA_scaffold230434__1_contigs__length_3480:1147-2192	Protein tyrosine phosphatase domain-containing protein 1 (EC 3.1.3.-)
A1L1R5	PGA_scaffold250858__1_contigs__length_3493:1292-2345	Protein tyrosine phosphatase domain-containing protein 1 (EC 3.1.3.-)
A1L1R5	PGA_scaffold250859__1_contigs__length_3480:1288-2333	Protein tyrosine phosphatase domain-containing protein 1 (EC 3.1.3.-)
A1L1R5	PGA_scaffold250861__1_contigs__length_3493:1148-2201	Protein tyrosine phosphatase domain-containing protein 1 (EC 3.1.3.-)
A1L1R5	PGA_scaffold250862__1_contigs__length_3480:1147-2192	Protein tyrosine phosphatase domain-containing protein 1 (EC 3.1.3.-)
A1L1V4	PGA_scaffold12__71_contigs__length_50438331:4864157-4871777	Lysyl oxidase homolog 2B (EC 1.4.3.13) (Lysyl oxidase-like protein 2B)
A1L1W9	PGA_scaffold3__111_contigs__length_57743597:28842743-28856352	Monocarboxylate transporter 10 (MCT 10) (Solute carrier family 16 member 10)
A1L2E4	PGA_scaffold6__104_contigs__length_61759565:48760984-48771770	rRNA methyltransferase 3B, mitochondrial (EC 2.1.1.-) (RNA methyltransferase-like protein 1B) (rRNA (guanosine-2'-O)-methyltransferase)
A1L4H1	PGA_scaffold26701__1_contigs__length_11283:7046-11131	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D)
A1L4H1	PGA_scaffold67685__1_contigs__length_28168:21089-28054	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D)
A1SRS5	PGA_scaffold59377__1_contigs__length_38396:7093-7279	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)
A1STS0	PGA_scaffold6__104_contigs__length_61759565:3975564-3979001	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)
A1SZA2	PGA_scaffold32605__1_contigs__length_1399:33-441	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)
A1X158	PGA_scaffold185515__1_contigs__length_1036:36-1036	Foot protein 1 variant 1
A1X158	PGA_scaffold185516__1_contigs__length_1036:0-478	Foot protein 1 variant 1
A1X158	PGA_scaffold189471__1_contigs__length_1036:36-1036	Foot protein 1 variant 1
A1X158	PGA_scaffold189472__1_contigs__length_1036:0-478	Foot protein 1 variant 1
A1X158	PGA_scaffold34328__1_contigs__length_1115:205-682	Foot protein 1 variant 1
A1YER2	PGA_scaffold63731__1_contigs__length_19147:6044-12714	Oxidoreductase HTATIP2 (EC 1.1.1.-)
A1YF12	PGA_scaffold238446__1_contigs__length_5966:4402-4702	Zinc finger protein 16
A1YF12	PGA_scaffold238447__1_contigs__length_6228:4657-4957	Zinc finger protein 16
A1YF12	PGA_scaffold238448__1_contigs__length_5966:1264-1564	Zinc finger protein 16
A1YF12	PGA_scaffold238449__1_contigs__length_6228:1271-1571	Zinc finger protein 16
A1YF12	PGA_scaffold248055__1_contigs__length_5966:4402-4702	Zinc finger protein 16
A1YF12	PGA_scaffold248056__1_contigs__length_6228:4657-4957	Zinc finger protein 16
A1YF12	PGA_scaffold248057__1_contigs__length_5966:1264-1564	Zinc finger protein 16
A1YF12	PGA_scaffold248058__1_contigs__length_6228:1271-1571	Zinc finger protein 16
A1YF12	PGA_scaffold60092__1_contigs__length_22393:15173-16094	Zinc finger protein 16
A1YF12	PGA_scaffold65095__1_contigs__length_4490:213-672	Zinc finger protein 16
A1Z651	PGA_scaffold19487__1_contigs__length_6655:2406-3642	Gag-Pol polyprotein (Pr180gag-pol) [Cleaved into: Matrix protein p15 (MA); RNA-binding phosphoprotein p12 (pp12); Capsid protein p30 (CA); Nucleocapsid protein p10 (NC-pol); Protease p14 (PR) (EC 3.4.23.-); Reverse transcriptase/ribonuclease H p80 (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Integrase p46 (IN) (EC 2.7.7.-) (EC 3.1.-.-)]
A1Z7G7	PGA_scaffold3__111_contigs__length_57743597:53858246-53860496	Latrophilin Cirl
A1Z7G7	PGA_scaffold58239__1_contigs__length_3040:1330-2618	Latrophilin Cirl
A1ZAI5	PGA_scaffold4__129_contigs__length_65288255:55705507-55705762	Putative fatty acyl-CoA reductase CG5065 (EC 1.2.1.84)
A1ZAX0	PGA_scaffold3__111_contigs__length_57743597:26680196-26681354	Neuropeptide CCHamide-1 receptor
A1ZAY1	PGA_scaffold3__111_contigs__length_57743597:20846626-20863595	SH3 domain-containing protein Dlish (Dachs ligand with SH3 domains)
A2A935	PGA_scaffold33005__1_contigs__length_9894:5630-5834	PR domain zinc finger protein 16 (PR domain-containing protein 16) (Transcription factor MEL1) (MDS1/EVI1-like gene 1)
A2A9R3	PGA_scaffold164241__1_contigs__length_1062:149-964	Melanoma-associated antigen B4
A2A9R3	PGA_scaffold164242__1_contigs__length_1062:98-913	Melanoma-associated antigen B4
A2A9R3	PGA_scaffold215862__1_contigs__length_1062:98-913	Melanoma-associated antigen B4
A2A9R3	PGA_scaffold215863__1_contigs__length_1062:149-964	Melanoma-associated antigen B4
A2AAY5	PGA_scaffold12__71_contigs__length_50438331:47211122-47230182	SH3 and PX domain-containing protein 2B (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)
A2AFS3	PGA_scaffold23004__1_contigs__length_8208:1931-7862	UPF0577 protein KIAA1324
A2AFS3	PGA_scaffold29063__1_contigs__length_13414:1724-9287	UPF0577 protein KIAA1324
A2AJ76	PGA_scaffold31766__1_contigs__length_5784:2964-5051	Hemicentin-2
A2AJN7	PGA_scaffold4__129_contigs__length_65288255:36993963-37005936	Sodium bicarbonate transporter-like protein 11 (Bicarbonate transporter-related protein 1) (Sodium borate cotransporter 1) (NaBC1) (Solute carrier family 4 member 11)
A2AKK5	PGA_scaffold129615__1_contigs__length_1161:811-1135	Acyl-coenzyme A amino acid N-acyltransferase 1 (EC 2.3.1.-)
A2AKK5	PGA_scaffold129624__1_contigs__length_1161:26-350	Acyl-coenzyme A amino acid N-acyltransferase 1 (EC 2.3.1.-)
A2AKK5	PGA_scaffold44734__1_contigs__length_2891:0-2603	Acyl-coenzyme A amino acid N-acyltransferase 1 (EC 2.3.1.-)
A2AKK5	PGA_scaffold4__129_contigs__length_65288255:19899954-19910237	Acyl-coenzyme A amino acid N-acyltransferase 1 (EC 2.3.1.-)
A2AKX3	PGA_scaffold78130__1_contigs__length_1797:106-1444	Probable helicase senataxin (EC 3.6.4.-) (Amyotrophic lateral sclerosis 4 protein homolog) (SEN1 homolog)
A2AKX3	PGA_scaffold78132__1_contigs__length_1797:353-1691	Probable helicase senataxin (EC 3.6.4.-) (Amyotrophic lateral sclerosis 4 protein homolog) (SEN1 homolog)
A2ASS6	PGA_scaffold6__104_contigs__length_61759565:27458230-27465898	Titin (EC 2.7.11.1) (Connectin)
A2AU72	PGA_scaffold4__129_contigs__length_65288255:50387436-50430126	Armadillo repeat-containing protein 3
A2AU72	PGA_scaffold4__129_contigs__length_65288255:50752367-50759843	Armadillo repeat-containing protein 3
