A0A0H2VCA1	PGA_scaffold53906__1_contigs__length_4067:460-2508	GO:0009279; GO:0009405; GO:0009986; GO:0016021
A1L1R5	PGA_scaffold250862__1_contigs__length_3480:1147-2192	GO:0004725; GO:0005634; GO:0005737; GO:0008138; GO:0060271
A1L1V4	PGA_scaffold12__71_contigs__length_50438331:4864157-4871777	GO:0001666; GO:0001837; GO:0001935; GO:0002040; GO:0004720; GO:0005044; GO:0005507; GO:0005604; GO:0005634; GO:0005694; GO:0006351; GO:0016020; GO:0016569; GO:0030199; GO:0032332; GO:0043542; GO:0045892
A1L1W9	PGA_scaffold3__111_contigs__length_57743597:28842743-28856352	GO:0005887; GO:0008028; GO:0015173; GO:0015349; GO:0016021
A1L2E4	PGA_scaffold6__104_contigs__length_61759565:48760984-48771770	GO:0003723; GO:0005739; GO:0006364; GO:0008173
A1L4H1	PGA_scaffold26701__1_contigs__length_11283:7046-11131	GO:0001968; GO:0005044; GO:0005615; GO:0005622; GO:0005737; GO:0007275; GO:0016020; GO:0031012; GO:0042494; GO:0043236; GO:0045087; GO:0050829; GO:0050830; GO:0050840; GO:2000483
A1L4H1	PGA_scaffold67685__1_contigs__length_28168:21089-28054	GO:0001968; GO:0005044; GO:0005615; GO:0005622; GO:0005737; GO:0007275; GO:0016020; GO:0031012; GO:0042494; GO:0043236; GO:0045087; GO:0050829; GO:0050830; GO:0050840; GO:2000483
A1SRS5	PGA_scaffold59377__1_contigs__length_38396:7093-7279	GO:0004347; GO:0005737; GO:0006094; GO:0006096
A1STS0	PGA_scaffold6__104_contigs__length_61759565:3975564-3979001	GO:0008803
A1SZA2	PGA_scaffold32605__1_contigs__length_1399:33-441	GO:0003987; GO:0005524; GO:0016208; GO:0019427; GO:0046872
A1X158	PGA_scaffold185515__1_contigs__length_1036:36-1036	GO:0005576
A1X158	PGA_scaffold185516__1_contigs__length_1036:0-478	GO:0005576
A1X158	PGA_scaffold189471__1_contigs__length_1036:36-1036	GO:0005576
A1X158	PGA_scaffold189472__1_contigs__length_1036:0-478	GO:0005576
A1X158	PGA_scaffold34328__1_contigs__length_1115:205-682	GO:0005576
A1YER2	PGA_scaffold63731__1_contigs__length_19147:6044-12714	GO:0001525; GO:0005635; GO:0005737; GO:0006915; GO:0016491; GO:0030154
A1YF12	PGA_scaffold238446__1_contigs__length_5966:4402-4702	GO:0002437; GO:0003677; GO:0005634; GO:0005730; GO:0006351; GO:0006355; GO:0007049; GO:0008284; GO:0033674; GO:0043066; GO:0045629; GO:0045648; GO:0045654; GO:0046872; GO:0051301; GO:0051781; GO:0072707; GO:1901989
A1YF12	PGA_scaffold238447__1_contigs__length_6228:4657-4957	GO:0002437; GO:0003677; GO:0005634; GO:0005730; GO:0006351; GO:0006355; GO:0007049; GO:0008284; GO:0033674; GO:0043066; GO:0045629; GO:0045648; GO:0045654; GO:0046872; GO:0051301; GO:0051781; GO:0072707; GO:1901989
A1YF12	PGA_scaffold238448__1_contigs__length_5966:1264-1564	GO:0002437; GO:0003677; GO:0005634; GO:0005730; GO:0006351; GO:0006355; GO:0007049; GO:0008284; GO:0033674; GO:0043066; GO:0045629; GO:0045648; GO:0045654; GO:0046872; GO:0051301; GO:0051781; GO:0072707; GO:1901989
A1YF12	PGA_scaffold238449__1_contigs__length_6228:1271-1571	GO:0002437; GO:0003677; GO:0005634; GO:0005730; GO:0006351; GO:0006355; GO:0007049; GO:0008284; GO:0033674; GO:0043066; GO:0045629; GO:0045648; GO:0045654; GO:0046872; GO:0051301; GO:0051781; GO:0072707; GO:1901989
A1YF12	PGA_scaffold248055__1_contigs__length_5966:4402-4702	GO:0002437; GO:0003677; GO:0005634; GO:0005730; GO:0006351; GO:0006355; GO:0007049; GO:0008284; GO:0033674; GO:0043066; GO:0045629; GO:0045648; GO:0045654; GO:0046872; GO:0051301; GO:0051781; GO:0072707; GO:1901989
A1YF12	PGA_scaffold248056__1_contigs__length_6228:4657-4957	GO:0002437; GO:0003677; GO:0005634; GO:0005730; GO:0006351; GO:0006355; GO:0007049; GO:0008284; GO:0033674; GO:0043066; GO:0045629; GO:0045648; GO:0045654; GO:0046872; GO:0051301; GO:0051781; GO:0072707; GO:1901989
A1YF12	PGA_scaffold248057__1_contigs__length_5966:1264-1564	GO:0002437; GO:0003677; GO:0005634; GO:0005730; GO:0006351; GO:0006355; GO:0007049; GO:0008284; GO:0033674; GO:0043066; GO:0045629; GO:0045648; GO:0045654; GO:0046872; GO:0051301; GO:0051781; GO:0072707; GO:1901989
A1YF12	PGA_scaffold248058__1_contigs__length_6228:1271-1571	GO:0002437; GO:0003677; GO:0005634; GO:0005730; GO:0006351; GO:0006355; GO:0007049; GO:0008284; GO:0033674; GO:0043066; GO:0045629; GO:0045648; GO:0045654; GO:0046872; GO:0051301; GO:0051781; GO:0072707; GO:1901989
A1YF12	PGA_scaffold60092__1_contigs__length_22393:15173-16094	GO:0002437; GO:0003677; GO:0005634; GO:0005730; GO:0006351; GO:0006355; GO:0007049; GO:0008284; GO:0033674; GO:0043066; GO:0045629; GO:0045648; GO:0045654; GO:0046872; GO:0051301; GO:0051781; GO:0072707; GO:1901989
A1YF12	PGA_scaffold65095__1_contigs__length_4490:213-672	GO:0002437; GO:0003677; GO:0005634; GO:0005730; GO:0006351; GO:0006355; GO:0007049; GO:0008284; GO:0033674; GO:0043066; GO:0045629; GO:0045648; GO:0045654; GO:0046872; GO:0051301; GO:0051781; GO:0072707; GO:1901989
A1Z651	PGA_scaffold19487__1_contigs__length_6655:2406-3642	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0006310; GO:0008270; GO:0015074; GO:0016020; GO:0019013; GO:0019068; GO:0020002; GO:0039660; GO:0042802; GO:0044826; GO:0046718; GO:0075713
A1Z7G7	PGA_scaffold3__111_contigs__length_57743597:53858246-53860496	GO:0004930; GO:0005886; GO:0007166; GO:0007186; GO:0007269; GO:0008021; GO:0008344; GO:0016021; GO:0016192; GO:0016524; GO:0030246
A1Z7G7	PGA_scaffold58239__1_contigs__length_3040:1330-2618	GO:0004930; GO:0005886; GO:0007166; GO:0007186; GO:0007269; GO:0008021; GO:0008344; GO:0016021; GO:0016192; GO:0016524; GO:0030246
A1ZAI5	PGA_scaffold4__129_contigs__length_65288255:55705507-55705762	GO:0005777; GO:0005778; GO:0005779; GO:0008611; GO:0010025; GO:0035336; GO:0050062; GO:0080019
A1ZAX0	PGA_scaffold3__111_contigs__length_57743597:26680196-26681354	GO:0005887; GO:0007186; GO:0007218; GO:0008188; GO:0008261; GO:0016021
A1ZAY1	PGA_scaffold3__111_contigs__length_57743597:20846626-20863595	GO:0005737; GO:0045179
A2A935	PGA_scaffold33005__1_contigs__length_9894:5630-5834	GO:0000122; GO:0003713; GO:0005634; GO:0005654; GO:0005829; GO:0006351; GO:0016235; GO:0017053; GO:0019827; GO:0022008; GO:0030512; GO:0030853; GO:0033613; GO:0035019; GO:0043457; GO:0043565; GO:0043586; GO:0045892; GO:0045893; GO:0046332; GO:0046872; GO:0050872; GO:0050873; GO:0060021; GO:0090336
A2A9R3	PGA_scaffold164241__1_contigs__length_1062:149-964	GO:0005737
A2A9R3	PGA_scaffold164242__1_contigs__length_1062:98-913	GO:0005737
A2A9R3	PGA_scaffold215862__1_contigs__length_1062:98-913	GO:0005737
A2A9R3	PGA_scaffold215863__1_contigs__length_1062:149-964	GO:0005737
A2AAY5	PGA_scaffold12__71_contigs__length_50438331:47211122-47230182	GO:0001501; GO:0001654; GO:0002051; GO:0002102; GO:0005737; GO:0006801; GO:0007507; GO:0010314; GO:0010628; GO:0016176; GO:0022617; GO:0030054; GO:0032266; GO:0040018; GO:0042169; GO:0042995; GO:0045600; GO:0048705; GO:0051496; GO:0055114; GO:0060348; GO:0060378; GO:0060612; GO:0070273; GO:0071800; GO:0072657; GO:0080025; GO:1904179; GO:1904888
A2AFS3	PGA_scaffold23004__1_contigs__length_8208:1931-7862	GO:0000045; GO:0003723; GO:0005765; GO:0005794; GO:0005886; GO:0005887; GO:0009267; GO:0031902; GO:0044090; GO:0070062; GO:2000786
A2AFS3	PGA_scaffold29063__1_contigs__length_13414:1724-9287	GO:0000045; GO:0003723; GO:0005765; GO:0005794; GO:0005886; GO:0005887; GO:0009267; GO:0031902; GO:0044090; GO:0070062; GO:2000786
A2AJ76	PGA_scaffold31766__1_contigs__length_5784:2964-5051	GO:0005509; GO:0005576; GO:0005604; GO:0005938; GO:0006939; GO:0030054; GO:0030335; GO:0032154; GO:0050896
A2AJN7	PGA_scaffold4__129_contigs__length_65288255:36993963-37005936	GO:0005272; GO:0005452; GO:0005887; GO:0006814; GO:0008509; GO:0015106; GO:0015252; GO:0015293; GO:0015301; GO:0015701; GO:0015992; GO:0030003; GO:0035445; GO:0035725; GO:0042044; GO:0046713; GO:0046715; GO:0046983; GO:0050801; GO:0051453
A2AKK5	PGA_scaffold129615__1_contigs__length_1161:811-1135	GO:0005777; GO:0006631; GO:0006637; GO:0016410; GO:0047617
A2AKK5	PGA_scaffold129624__1_contigs__length_1161:26-350	GO:0005777; GO:0006631; GO:0006637; GO:0016410; GO:0047617
A2AKK5	PGA_scaffold44734__1_contigs__length_2891:0-2603	GO:0005777; GO:0006631; GO:0006637; GO:0016410; GO:0047617
A2AKK5	PGA_scaffold4__129_contigs__length_65288255:19899954-19910237	GO:0005777; GO:0006631; GO:0006637; GO:0016410; GO:0047617
A2AKX3	PGA_scaffold78130__1_contigs__length_1797:106-1444	GO:0000165; GO:0000228; GO:0000781; GO:0001147; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006302; GO:0006310; GO:0006353; GO:0006369; GO:0006376; GO:0006974; GO:0007283; GO:0007623; GO:0008543; GO:0010976; GO:0016604; GO:0030424; GO:0030426; GO:0033120; GO:0034599; GO:0042802; GO:0043066; GO:0043491; GO:0044344; GO:0045171; GO:0045944; GO:0060566; GO:0070301; GO:0071300; GO:2000144; GO:2000806
A2AKX3	PGA_scaffold78132__1_contigs__length_1797:353-1691	GO:0000165; GO:0000228; GO:0000781; GO:0001147; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006302; GO:0006310; GO:0006353; GO:0006369; GO:0006376; GO:0006974; GO:0007283; GO:0007623; GO:0008543; GO:0010976; GO:0016604; GO:0030424; GO:0030426; GO:0033120; GO:0034599; GO:0042802; GO:0043066; GO:0043491; GO:0044344; GO:0045171; GO:0045944; GO:0060566; GO:0070301; GO:0071300; GO:2000144; GO:2000806
A2ASS6	PGA_scaffold6__104_contigs__length_61759565:27458230-27465898	GO:0000794; GO:0001701; GO:0001756; GO:0002020; GO:0003007; GO:0003300; GO:0004674; GO:0004713; GO:0005200; GO:0005509; GO:0005516; GO:0005524; GO:0005859; GO:0005865; GO:0006936; GO:0006941; GO:0007015; GO:0007507; GO:0007512; GO:0008307; GO:0010628; GO:0010737; GO:0019899; GO:0019901; GO:0021591; GO:0030017; GO:0030018; GO:0030240; GO:0030241; GO:0030506; GO:0031430; GO:0031433; GO:0031672; GO:0031674; GO:0035995; GO:0042802; GO:0042805; GO:0043056; GO:0043621; GO:0045214; GO:0045859; GO:0048739; GO:0048769; GO:0050714; GO:0050790; GO:0051015; GO:0051371; GO:0051592; GO:0055002; GO:0055003; GO:0055008; GO:0060048; GO:0060419; GO:0070062; GO:0071688; GO:0097493; GO:1901897
A2AU72	PGA_scaffold4__129_contigs__length_65288255:50387436-50430126	GO:0005634; GO:0005737; GO:0070062
A2AU72	PGA_scaffold4__129_contigs__length_65288255:50752367-50759843	GO:0005634; GO:0005737; GO:0070062
A2AV25	PGA_scaffold4__129_contigs__length_65288255:7319930-7320152	GO:0008061; GO:0016020; GO:0016021; GO:0046872
A2AVA0	PGA_scaffold103883__1_contigs__length_1079:419-635	GO:0003682; GO:0005509; GO:0005576; GO:0005615; GO:0005737; GO:0007155; GO:0016020
A2AVA0	PGA_scaffold103888__1_contigs__length_1079:444-660	GO:0003682; GO:0005509; GO:0005576; GO:0005615; GO:0005737; GO:0007155; GO:0016020
A2AVA0	PGA_scaffold117771__1_contigs__length_1079:444-660	GO:0003682; GO:0005509; GO:0005576; GO:0005615; GO:0005737; GO:0007155; GO:0016020
A2AVA0	PGA_scaffold117776__1_contigs__length_1079:419-635	GO:0003682; GO:0005509; GO:0005576; GO:0005615; GO:0005737; GO:0007155; GO:0016020
A2AVA0	PGA_scaffold11781__1_contigs__length_7816:101-215	GO:0003682; GO:0005509; GO:0005576; GO:0005615; GO:0005737; GO:0007155; GO:0016020
A2AVA0	PGA_scaffold263734__1_contigs__length_2565:1350-2531	GO:0003682; GO:0005509; GO:0005576; GO:0005615; GO:0005737; GO:0007155; GO:0016020
