"index"	"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"91525"	"PGA_scaffold15__101_contigs__length_47938513"	30333059	30333059	"+"	7.40796441693421e-06	0.00264769658267743	51.1904761904762
"91536"	"PGA_scaffold15__101_contigs__length_47938513"	30412682	30412682	"+"	1.52616621088172e-12	2.36177020322371e-08	51.8518518518518
"92154"	"PGA_scaffold15__101_contigs__length_47938513"	31933328	31933328	"+"	3.28700569522215e-08	4.69161798181802e-05	53.7480063795853
"92172"	"PGA_scaffold15__101_contigs__length_47938513"	31933820	31933820	"+"	2.17516938798467e-13	4.91970584183030e-09	-58.4104938271605
"92360"	"PGA_scaffold15__101_contigs__length_47938513"	32544711	32544711	"+"	1.36095266679041e-11	1.21090983939242e-07	-52.7777777777778
"93185"	"PGA_scaffold15__101_contigs__length_47938513"	34790802	34790802	"+"	1.8133586078255e-08	2.85122504783898e-05	51.8705763397371
"93187"	"PGA_scaffold15__101_contigs__length_47938513"	34790864	34790864	"+"	1.55225195081254e-08	2.50575170406137e-05	55.3535353535354
"93518"	"PGA_scaffold15__101_contigs__length_47938513"	35492081	35492081	"+"	6.56033608568065e-07	0.000451739034981153	-52.6392961876833
"93698"	"PGA_scaffold15__101_contigs__length_47938513"	36096251	36096251	"+"	2.35223859769382e-05	0.00588617149686841	-51.5873015873016
"96949"	"PGA_scaffold15__101_contigs__length_47938513"	45811938	45811938	"+"	1.91832845786573e-07	0.000174626380776468	60.1965601965602
"101472"	"PGA_scaffold16__33_contigs__length_31980953"	12718699	12718699	"+"	3.00723686060413e-08	4.35573053056131e-05	51.4545454545455
"104438"	"PGA_scaffold16__33_contigs__length_31980953"	23437661	23437661	"+"	2.15910690520233e-07	0.000187822169219687	50.1623376623377
"106686"	"PGA_scaffold16__33_contigs__length_31980953"	29939584	29939584	"+"	4.72969298280934e-06	0.0019261280630664	-52.7272727272727
"107702"	"PGA_scaffold17__51_contigs__length_34923512"	55357	55357	"+"	6.2597886926278e-09	1.23859620659745e-05	-62.6086956521739
"110954"	"PGA_scaffold17__51_contigs__length_34923512"	8869475	8869475	"+"	8.10964011283226e-09	1.5187676401545e-05	-60
"111196"	"PGA_scaffold17__51_contigs__length_34923512"	9552036	9552036	"+"	2.0012004338982e-07	0.000178289705806424	58.1254724111867
"114379"	"PGA_scaffold17__51_contigs__length_34923512"	19300960	19300960	"+"	9.62754223116986e-08	0.000107633903233676	55.094130675526
"114477"	"PGA_scaffold17__51_contigs__length_34923512"	19504471	19504471	"+"	1.73186562086309e-06	0.000916258073070115	53.5449735449735
"116223"	"PGA_scaffold17__51_contigs__length_34923512"	23647979	23647979	"+"	1.55333974364076e-06	0.000844225750975278	-53.5353535353535
"119931"	"PGA_scaffold17__51_contigs__length_34923512"	33536941	33536941	"+"	1.64314421805816e-11	1.31715899280497e-07	73.3997155049787
"121574"	"PGA_scaffold18__69_contigs__length_27737463"	6625412	6625412	"+"	1.686442678562e-05	0.00471351887415785	52.3076923076923
"121928"	"PGA_scaffold18__69_contigs__length_27737463"	7511217	7511217	"+"	1.53224897069313e-07	0.000147645667335875	-55.5822328931573
"121929"	"PGA_scaffold18__69_contigs__length_27737463"	7511219	7511219	"+"	7.95925548766169e-08	9.40088670678477e-05	-58.6274509803921
"123913"	"PGA_scaffold18__69_contigs__length_27737463"	12384817	12384817	"+"	1.37879369529376e-07	0.000134685920646468	-56.9381598793363
"125197"	"PGA_scaffold18__69_contigs__length_27737463"	15078681	15078681	"+"	5.06356907205e-08	6.64657831330585e-05	51.3617021276596
"125368"	"PGA_scaffold18__69_contigs__length_27737463"	15707702	15707702	"+"	1.02900405091635e-07	0.000110826557506918	-58.3333333333333
"125487"	"PGA_scaffold18__69_contigs__length_27737463"	15953172	15953172	"+"	2.41518199047581e-06	0.0011603468975375	-52.7777777777778
"125780"	"PGA_scaffold18__69_contigs__length_27737463"	16511834	16511834	"+"	4.96550493836965e-09	1.05035963563777e-05	-56.1616954474097
"126055"	"PGA_scaffold18__69_contigs__length_27737463"	17364476	17364476	"+"	3.50758128961405e-07	0.000275756366863132	-59.5925297113752
"133314"	"PGA_scaffold1__77_contigs__length_89643857"	10800795	10800795	"+"	8.72421414844142e-10	2.80088926855914e-06	-58.0851063829787
"133568"	"PGA_scaffold1__77_contigs__length_89643857"	11337939	11337939	"+"	6.87700720319043e-08	8.39019090558589e-05	50.2188868042527
"136270"	"PGA_scaffold1__77_contigs__length_89643857"	15561329	15561329	"+"	2.99730794568289e-08	4.35573053056131e-05	50.7407407407407
"136405"	"PGA_scaffold1__77_contigs__length_89643857"	15916722	15916722	"+"	2.84312726555438e-12	3.34384160848948e-08	54.0983606557377
"136441"	"PGA_scaffold1__77_contigs__length_89643857"	16022990	16022990	"+"	2.18374478798415e-07	0.000189405065282229	-51.4155712841254
"136977"	"PGA_scaffold1__77_contigs__length_89643857"	17463021	17463021	"+"	1.02135135560358e-07	0.000110406761612524	-51.5322076297686
"137780"	"PGA_scaffold1__77_contigs__length_89643857"	20325013	20325013	"+"	7.10351049508368e-06	0.00257608580273562	52.512315270936
"143860"	"PGA_scaffold1__77_contigs__length_89643857"	39008805	39008805	"+"	3.87736265493298e-10	1.50007245610269e-06	55.7446808510638
"143861"	"PGA_scaffold1__77_contigs__length_89643857"	39008830	39008830	"+"	4.70795186449123e-09	1.0316419119071e-05	52.9336734693878
"144676"	"PGA_scaffold1__77_contigs__length_89643857"	41850784	41850784	"+"	5.3958218581081e-12	5.59982085759725e-08	56.8965517241379
"145211"	"PGA_scaffold1__77_contigs__length_89643857"	43670974	43670974	"+"	1.5793837386195e-09	4.50858065689928e-06	68.3006535947712
"146349"	"PGA_scaffold1__77_contigs__length_89643857"	46775992	46775992	"+"	4.62252637561179e-13	7.9950260376076e-09	-51.6386554621849
"148372"	"PGA_scaffold1__77_contigs__length_89643857"	52246271	52246271	"+"	1.50568840329523e-08	2.48716449367882e-05	59.8484848484849
"156399"	"PGA_scaffold1__77_contigs__length_89643857"	76768674	76768674	"+"	2.75894563542461e-09	6.99317762899343e-06	56.25
"156400"	"PGA_scaffold1__77_contigs__length_89643857"	76768677	76768677	"+"	2.48831500531272e-08	3.71388574029365e-05	53.125
"156401"	"PGA_scaffold1__77_contigs__length_89643857"	76768688	76768688	"+"	1.42648211487149e-09	4.19426374899126e-06	54.2857142857143
"159434"	"PGA_scaffold1__77_contigs__length_89643857"	84245145	84245145	"+"	5.39666213811366e-07	0.000385138930026395	-53.7869062901155
"160355"	"PGA_scaffold1__77_contigs__length_89643857"	86795022	86795022	"+"	7.84758942647586e-12	7.44327364122481e-08	-60.3723404255319
"165013"	"PGA_scaffold2__36_contigs__length_69596280"	9679070	9679070	"+"	2.04544453945188e-09	5.620737932492e-06	50.3763440860215
"171067"	"PGA_scaffold2__36_contigs__length_69596280"	26633995	26633995	"+"	2.88774316645807e-10	1.21296963980747e-06	56.6604127579737
"172340"	"PGA_scaffold2__36_contigs__length_69596280"	31960555	31960555	"+"	2.82394067994816e-06	0.0013242727263591	-51.778093883357
"175906"	"PGA_scaffold2__36_contigs__length_69596280"	44793028	44793028	"+"	3.36564226046561e-05	0.00758891636799643	-51.9104084321476
"177005"	"PGA_scaffold2__36_contigs__length_69596280"	47740259	47740259	"+"	1.81131484925271e-11	1.40152147555088e-07	-64.9938800489596
"177041"	"PGA_scaffold2__36_contigs__length_69596280"	47874191	47874191	"+"	3.91667901812389e-06	0.00167327403940971	53.3333333333333
"177049"	"PGA_scaffold2__36_contigs__length_69596280"	47898934	47898934	"+"	1.1915852617086e-08	2.08547624445218e-05	51.332955190017
"178528"	"PGA_scaffold2__36_contigs__length_69596280"	50890603	50890603	"+"	5.41072102766599e-16	2.65151017617078e-11	63.2121212121212
"178530"	"PGA_scaffold2__36_contigs__length_69596280"	50890729	50890729	"+"	7.28926652759519e-08	8.76185675119289e-05	50.6168359941945
"180048"	"PGA_scaffold2__36_contigs__length_69596280"	53313217	53313217	"+"	1.15315095407786e-07	0.000118968150115473	53.1311799604483
"180824"	"PGA_scaffold2__36_contigs__length_69596280"	54581598	54581598	"+"	1.48488260653683e-09	4.32275032651379e-06	54.8387096774194
"180945"	"PGA_scaffold2__36_contigs__length_69596280"	54915940	54915940	"+"	6.44513131804432e-09	1.23859620659745e-05	-65.7706093189964
"181038"	"PGA_scaffold2__36_contigs__length_69596280"	55304067	55304067	"+"	1.53805564302835e-20	4.52232170332289e-15	79.4832041343669
"182200"	"PGA_scaffold2__36_contigs__length_69596280"	58702754	58702754	"+"	4.66860540590371e-10	1.73759870108014e-06	58.0645161290322
"182379"	"PGA_scaffold2__36_contigs__length_69596280"	59633383	59633383	"+"	2.14863112620861e-07	0.000187822169219687	-54.0379403794038
"182819"	"PGA_scaffold2__36_contigs__length_69596280"	61116748	61116748	"+"	3.75729793607882e-06	0.00162932129979344	50.6912442396313
"182833"	"PGA_scaffold2__36_contigs__length_69596280"	61167430	61167430	"+"	6.62909407825163e-09	1.26567694009506e-05	54.2145593869732
"183014"	"PGA_scaffold2__36_contigs__length_69596280"	61737361	61737361	"+"	1.17413331141733e-13	3.13844216878337e-09	-77.7777777777778
"183015"	"PGA_scaffold2__36_contigs__length_69596280"	61737383	61737383	"+"	4.15252993519876e-14	1.22096208513447e-09	-77.7777777777778
"183338"	"PGA_scaffold2__36_contigs__length_69596280"	63073753	63073753	"+"	2.08040457941831e-06	0.0010300969746984	-50.1225490196078
"183821"	"PGA_scaffold2__36_contigs__length_69596280"	64597536	64597536	"+"	2.52427675552104e-07	0.000213893161315302	50.9803921568627
"187686"	"PGA_scaffold3__111_contigs__length_57743597"	6941016	6941016	"+"	3.81220298101551e-06	0.00164837686241598	57.4786324786325
"188523"	"PGA_scaffold3__111_contigs__length_57743597"	9373280	9373280	"+"	2.09229055735496e-08	3.15483601252241e-05	53.015427769986
"188698"	"PGA_scaffold3__111_contigs__length_57743597"	9816608	9816608	"+"	1.77442951069171e-06	0.000931665750891287	52.0764667106131
"194363"	"PGA_scaffold3__111_contigs__length_57743597"	25748297	25748297	"+"	3.60324684586065e-09	8.54400976309267e-06	68.595825426945
"197734"	"PGA_scaffold3__111_contigs__length_57743597"	33926189	33926189	"+"	5.24100846919111e-07	0.00037677402916243	59.0725806451613
"198056"	"PGA_scaffold3__111_contigs__length_57743597"	34992277	34992277	"+"	1.43277245372288e-08	2.39361314602718e-05	-59.2207792207792
"199232"	"PGA_scaffold3__111_contigs__length_57743597"	37808001	37808001	"+"	1.19292886739195e-07	0.000122641631961984	52.7551020408163
"200514"	"PGA_scaffold3__111_contigs__length_57743597"	41544167	41544167	"+"	1.3274217249268e-06	0.000746913708410334	52.2946859903382
"205320"	"PGA_scaffold3__111_contigs__length_57743597"	56773380	56773380	"+"	6.24798880680515e-09	1.23859620659745e-05	52.4038461538462
"205871"	"PGA_scaffold4__129_contigs__length_65288255"	717049	717049	"+"	7.99317684443831e-08	9.40088670678477e-05	-53.2509157509158
"206293"	"PGA_scaffold4__129_contigs__length_65288255"	1946661	1946661	"+"	3.93904802276184e-08	5.38694103199109e-05	-57.741935483871
"208140"	"PGA_scaffold4__129_contigs__length_65288255"	7483456	7483456	"+"	4.65172929722057e-09	1.02837662946397e-05	51.4078374455733
"208145"	"PGA_scaffold4__129_contigs__length_65288255"	7484177	7484177	"+"	2.95935513030436e-07	0.000241704084747773	52.5554484088717
"208602"	"PGA_scaffold4__129_contigs__length_65288255"	8990226	8990226	"+"	2.64777918659641e-12	3.34384160848948e-08	-51.4583333333333
"208603"	"PGA_scaffold4__129_contigs__length_65288255"	8990231	8990231	"+"	2.53478039465863e-17	1.8632440971628e-12	-63.4920634920635
"208604"	"PGA_scaffold4__129_contigs__length_65288255"	8990243	8990243	"+"	2.73203213525272e-12	3.34384160848948e-08	-63.6821705426357
"210249"	"PGA_scaffold4__129_contigs__length_65288255"	12901548	12901548	"+"	8.65032845473523e-11	4.89123647882219e-07	50.9483667017914
"216017"	"PGA_scaffold4__129_contigs__length_65288255"	28606791	28606791	"+"	2.43285678572757e-05	0.00601371528295572	-52.5925925925926
"220894"	"PGA_scaffold4__129_contigs__length_65288255"	42312142	42312142	"+"	1.92821141938408e-06	0.000989043921434237	-53.5
"224572"	"PGA_scaffold4__129_contigs__length_65288255"	52562645	52562645	"+"	1.52039530005164e-05	0.00437416366384484	53.6637931034483
"226419"	"PGA_scaffold4__129_contigs__length_65288255"	58971463	58971463	"+"	1.25768366499474e-09	3.77420476851457e-06	-52.4761904761905
"226507"	"PGA_scaffold4__129_contigs__length_65288255"	59254009	59254009	"+"	7.78799764310451e-13	1.27216285944755e-08	-72.7272727272727
"226508"	"PGA_scaffold4__129_contigs__length_65288255"	59254019	59254019	"+"	2.69801362155857e-09	6.95870927410035e-06	-65.5354449472097
"226509"	"PGA_scaffold4__129_contigs__length_65288255"	59254029	59254029	"+"	2.88451572573429e-14	9.42366431510313e-10	-72.8260869565217
"229153"	"PGA_scaffold5__109_contigs__length_67248332"	2337558	2337558	"+"	2.84225172799784e-13	5.96741974421115e-09	-65.1587301587302
"230641"	"PGA_scaffold5__109_contigs__length_67248332"	11027044	11027044	"+"	3.73235216228243e-06	0.00162434241866041	-59.5652173913044
"233307"	"PGA_scaffold5__109_contigs__length_67248332"	20083244	20083244	"+"	3.03997927405873e-09	7.44867083268573e-06	51.1627906976744
"233455"	"PGA_scaffold5__109_contigs__length_67248332"	20867165	20867165	"+"	1.31059136190793e-08	2.21466202527185e-05	52.5462962962963
"240976"	"PGA_scaffold5__109_contigs__length_67248332"	47627681	47627681	"+"	8.55821491456044e-07	0.000540722319149505	52.5882352941176
"243127"	"PGA_scaffold5__109_contigs__length_67248332"	57772450	57772450	"+"	8.26956021547921e-07	0.000531802685763446	-59.9137931034483
"250355"	"PGA_scaffold6__104_contigs__length_61759565"	9920546	9920546	"+"	2.53775138926519e-07	0.000213910918678341	-57.8541374474053
"250715"	"PGA_scaffold6__104_contigs__length_61759565"	10802637	10802637	"+"	6.91329142047135e-06	0.00253454439111873	52.4436090225564
"253774"	"PGA_scaffold6__104_contigs__length_61759565"	24293294	24293294	"+"	1.50140087260001e-09	4.32798650706642e-06	-55.8333333333333
"271176"	"PGA_scaffold7__69_contigs__length_43120122"	20362925	20362925	"+"	1.82037774749384e-06	0.000949012253453037	-53.0487804878049
"271177"	"PGA_scaffold7__69_contigs__length_43120122"	20362928	20362928	"+"	2.15080014839576e-06	0.00105929063458074	-55.1411290322581
"279823"	"PGA_scaffold8__63_contigs__length_61151155"	2712000	2712000	"+"	4.48604881993091e-09	1.01463549036971e-05	50.1420454545455
"279869"	"PGA_scaffold8__63_contigs__length_61151155"	2826932	2826932	"+"	1.84246889772457e-08	2.88158690626815e-05	55.6482670089859
"282687"	"PGA_scaffold8__63_contigs__length_61151155"	11489916	11489916	"+"	3.20600980236818e-08	4.59833270536443e-05	-51.7241379310345
"283133"	"PGA_scaffold8__63_contigs__length_61151155"	12698384	12698384	"+"	1.39993607845367e-06	0.000781064675583421	-60
"283134"	"PGA_scaffold8__63_contigs__length_61151155"	12698396	12698396	"+"	4.82225176242002e-09	1.03494845201627e-05	-68.5328185328185
"286966"	"PGA_scaffold8__63_contigs__length_61151155"	23976174	23976174	"+"	1.9970222561007e-10	9.31352831534876e-07	-55.9583858764187
"287927"	"PGA_scaffold8__63_contigs__length_61151155"	26251818	26251818	"+"	4.73898938464870e-09	1.0316419119071e-05	-60
"288779"	"PGA_scaffold8__63_contigs__length_61151155"	28050783	28050783	"+"	2.23722175541578e-12	2.99003146824986e-08	-51.9772551046782
"291793"	"PGA_scaffold8__63_contigs__length_61151155"	36032270	36032270	"+"	9.6875808878553e-07	0.000599668364274365	-51.0526315789474
"294337"	"PGA_scaffold8__63_contigs__length_61151155"	45086598	45086598	"+"	2.97159430511219e-09	7.3422972362733e-06	61.8366129994037
"295189"	"PGA_scaffold8__63_contigs__length_61151155"	46985774	46985774	"+"	2.99502149580497e-06	0.00138245154238647	-51.3513513513514
"295327"	"PGA_scaffold8__63_contigs__length_61151155"	47402977	47402977	"+"	6.06121110068002e-10	2.12162942414258e-06	-50.0240731824747
