Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
O97758	ZO1_CANLF	reviewed	Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)	TJP1 ZO1	Canis lupus familiaris (Dog) (Canis familiaris)	1769	bicellular tight junction assembly [GO:0070830]; cellular response to calcium ion [GO:0071277]	bicellular tight junction [GO:0005923]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; cytoplasmic vesicle [GO:0031410]; gap junction [GO:0005921]; plasma membrane [GO:0005886]	bicellular tight junction [GO:0005923]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; cytoplasmic vesicle [GO:0031410]; gap junction [GO:0005921]; plasma membrane [GO:0005886]; calmodulin binding [GO:0005516]; bicellular tight junction assembly [GO:0070830]; cellular response to calcium ion [GO:0071277]	calmodulin binding [GO:0005516]	GO:0005516; GO:0005886; GO:0005911; GO:0005921; GO:0005923; GO:0009986; GO:0031410; GO:0070830; GO:0071277
Q8IUN9	CLC10_HUMAN	reviewed	C-type lectin domain family 10 member A (C-type lectin superfamily member 14) (Macrophage lectin 2) (CD antigen CD301)	CLEC10A CLECSF13 CLECSF14 HML	Homo sapiens (Human)	316	adaptive immune response [GO:0002250]; endocytosis [GO:0006897]; innate immune response [GO:0045087]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; carbohydrate binding [GO:0030246]; adaptive immune response [GO:0002250]; endocytosis [GO:0006897]; innate immune response [GO:0045087]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]	carbohydrate binding [GO:0030246]	GO:0002223; GO:0002250; GO:0005886; GO:0006897; GO:0016021; GO:0030246; GO:0045087
P18106	FER_DROME	reviewed	Tyrosine-protein kinase Fer (EC 2.7.10.2)	FER fps Fps85D HD-179 CG8874	Drosophila melanogaster (Fruit fly)	1325	actin filament bundle assembly [GO:0051017]; axon guidance [GO:0007411]; dorsal closure [GO:0007391]; dorsal closure, amnioserosa morphology change [GO:0046664]; dorsal closure, elongation of leading edge cells [GO:0007394]; regulation of cell population proliferation [GO:0042127]	adherens junction [GO:0005912]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; extrinsic component of membrane [GO:0019898]; plasma membrane [GO:0005886]	adherens junction [GO:0005912]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; extrinsic component of membrane [GO:0019898]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phospholipid binding [GO:0005543]; protein tyrosine kinase activity [GO:0004713]; actin filament bundle assembly [GO:0051017]; axon guidance [GO:0007411]; dorsal closure [GO:0007391]; dorsal closure, amnioserosa morphology change [GO:0046664]; dorsal closure, elongation of leading edge cells [GO:0007394]; regulation of cell population proliferation [GO:0042127]	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phospholipid binding [GO:0005543]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0004715; GO:0005524; GO:0005543; GO:0005886; GO:0005912; GO:0007391; GO:0007394; GO:0007411; GO:0019898; GO:0031234; GO:0042127; GO:0046664; GO:0051017
P46023	GR101_LYMST	reviewed	G-protein coupled receptor GRL101		Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	1115		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021
P43446	WN10A_DANRE	reviewed	Protein Wnt-10a	wnt10a wnt-10a	Danio rerio (Zebrafish) (Brachydanio rerio)	442	Wnt signaling pathway [GO:0016055]; cell fate commitment [GO:0045165]; neuron differentiation [GO:0030182]; odontogenesis [GO:0042476]	extracellular space [GO:0005615]	extracellular space [GO:0005615]; frizzled binding [GO:0005109]; cell fate commitment [GO:0045165]; neuron differentiation [GO:0030182]; odontogenesis [GO:0042476]; Wnt signaling pathway [GO:0016055]	frizzled binding [GO:0005109]	GO:0005109; GO:0005615; GO:0016055; GO:0030182; GO:0042476; GO:0045165
Q9Y345	SC6A5_HUMAN	reviewed	Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)	SLC6A5 GLYT2 NET1	Homo sapiens (Human)	797	chemical synaptic transmission [GO:0007268]; glycine import across plasma membrane [GO:1903804]; synaptic transmission, glycinergic [GO:0060012]	glycinergic synapse [GO:0098690]; integral component of membrane [GO:0016021]; integral component of presynaptic membrane [GO:0099056]; plasma membrane [GO:0005886]	glycinergic synapse [GO:0098690]; integral component of membrane [GO:0016021]; integral component of presynaptic membrane [GO:0099056]; plasma membrane [GO:0005886]; glycine:sodium symporter activity [GO:0015375]; metal ion binding [GO:0046872]; chemical synaptic transmission [GO:0007268]; glycine import across plasma membrane [GO:1903804]; synaptic transmission, glycinergic [GO:0060012]	glycine:sodium symporter activity [GO:0015375]; metal ion binding [GO:0046872]	GO:0005886; GO:0007268; GO:0015375; GO:0016021; GO:0046872; GO:0060012; GO:0098690; GO:0099056; GO:1903804
Q9Z0E6	GBP2_MOUSE	reviewed	Guanylate-binding protein 2 (EC 3.6.5.-) (GTP-binding protein 2) (GBP-2) (mGBP-2) (mGBP2) (Guanine nucleotide-binding protein 2) (Interferon-induced guanylate-binding protein 2)	Gbp2	Mus musculus (Mouse)	589	adhesion of symbiont to host [GO:0044406]; cellular response to interferon-beta [GO:0035458]; cellular response to interferon-gamma [GO:0071346]; cellular response to lipopolysaccharide [GO:0071222]; defense response to Gram-positive bacterium [GO:0050830]; defense response to protozoan [GO:0042832]; protein localization to nucleus [GO:0034504]; response to bacterium [GO:0009617]	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; symbiont-containing vacuole membrane [GO:0020005]	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; symbiont-containing vacuole membrane [GO:0020005]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein homodimerization activity [GO:0042803]; adhesion of symbiont to host [GO:0044406]; cellular response to interferon-beta [GO:0035458]; cellular response to interferon-gamma [GO:0071346]; cellular response to lipopolysaccharide [GO:0071222]; defense response to Gram-positive bacterium [GO:0050830]; defense response to protozoan [GO:0042832]; protein localization to nucleus [GO:0034504]; response to bacterium [GO:0009617]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein homodimerization activity [GO:0042803]	GO:0000139; GO:0003924; GO:0005525; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0009617; GO:0015629; GO:0020005; GO:0031410; GO:0034504; GO:0035458; GO:0042803; GO:0042832; GO:0044406; GO:0048471; GO:0050830; GO:0071222; GO:0071346
Q61107	GBP4_MOUSE	reviewed	Guanylate-binding protein 4 (EC 3.6.5.-) (GTP-binding protein 3) (GBP-3) (GTP-binding protein 4) (GBP-4) (Guanine nucleotide-binding protein 4) (Guanylate-binding protein 3)	Gbp4 Gbp3	Mus musculus (Mouse)	620	adhesion of symbiont to host [GO:0044406]; cellular response to interferon-beta [GO:0035458]; cellular response to interferon-gamma [GO:0071346]; defense response to Gram-positive bacterium [GO:0050830]; defense response to protozoan [GO:0042832]	Golgi membrane [GO:0000139]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; symbiont-containing vacuole membrane [GO:0020005]	cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; symbiont-containing vacuole membrane [GO:0020005]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein homodimerization activity [GO:0042803]; adhesion of symbiont to host [GO:0044406]; cellular response to interferon-beta [GO:0035458]; cellular response to interferon-gamma [GO:0071346]; defense response to Gram-positive bacterium [GO:0050830]; defense response to protozoan [GO:0042832]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein homodimerization activity [GO:0042803]	GO:0000139; GO:0003924; GO:0005525; GO:0005634; GO:0005829; GO:0020005; GO:0031410; GO:0035458; GO:0042803; GO:0042832; GO:0044406; GO:0048471; GO:0050830; GO:0071346
Q63663	GBP2_RAT	reviewed	Guanylate-binding protein 1 (EC 3.6.5.-) (GTP-binding protein 2) (GBP-2) (Guanine nucleotide-binding protein 2) (Interferon-induced guanylate-binding protein 2) (p67)	Gbp2	Rattus norvegicus (Rat)	589	cellular response to interferon-gamma [GO:0071346]; defense response to Gram-positive bacterium [GO:0050830]; defense response to protozoan [GO:0042832]	Golgi membrane [GO:0000139]; cytoplasmic vesicle [GO:0031410]; perinuclear region of cytoplasm [GO:0048471]; symbiont-containing vacuole membrane [GO:0020005]	cytoplasmic vesicle [GO:0031410]; Golgi membrane [GO:0000139]; perinuclear region of cytoplasm [GO:0048471]; symbiont-containing vacuole membrane [GO:0020005]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cellular response to interferon-gamma [GO:0071346]; defense response to Gram-positive bacterium [GO:0050830]; defense response to protozoan [GO:0042832]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0000139; GO:0003924; GO:0005525; GO:0020005; GO:0031410; GO:0042832; GO:0048471; GO:0050830; GO:0071346
Q61555	FBN2_MOUSE	reviewed	Fibrillin-2 [Cleaved into: Fibrillin-2 C-terminal peptide]	Fbn2 Fbn-2	Mus musculus (Mouse)	2907	bone trabecula formation [GO:0060346]; camera-type eye development [GO:0043010]; embryonic eye morphogenesis [GO:0048048]; embryonic limb morphogenesis [GO:0030326]; limb morphogenesis [GO:0035108]; positive regulation of bone mineralization [GO:0030501]; positive regulation of osteoblast differentiation [GO:0045669]; sequestering of TGFbeta in extracellular matrix [GO:0035583]	collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; microfibril [GO:0001527]	collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; microfibril [GO:0001527]; calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; bone trabecula formation [GO:0060346]; camera-type eye development [GO:0043010]; embryonic eye morphogenesis [GO:0048048]; embryonic limb morphogenesis [GO:0030326]; limb morphogenesis [GO:0035108]; positive regulation of bone mineralization [GO:0030501]; positive regulation of osteoblast differentiation [GO:0045669]; sequestering of TGFbeta in extracellular matrix [GO:0035583]	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]	GO:0001527; GO:0005201; GO:0005509; GO:0005576; GO:0030326; GO:0030501; GO:0031012; GO:0035108; GO:0035583; GO:0043010; GO:0045669; GO:0048048; GO:0060346; GO:0062023
O35806	LTBP2_RAT	reviewed	Latent-transforming growth factor beta-binding protein 2 (LTBP-2)	Ltbp2	Rattus norvegicus (Rat)	1764	supramolecular fiber organization [GO:0097435]; transforming growth factor beta receptor signaling pathway [GO:0007179]	extracellular region [GO:0005576]	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; growth factor binding [GO:0019838]; heparin binding [GO:0008201]; microfibril binding [GO:0050436]; supramolecular fiber organization [GO:0097435]; transforming growth factor beta receptor signaling pathway [GO:0007179]	calcium ion binding [GO:0005509]; growth factor binding [GO:0019838]; heparin binding [GO:0008201]; microfibril binding [GO:0050436]	GO:0005509; GO:0005576; GO:0007179; GO:0008201; GO:0019838; GO:0050436; GO:0097435
B3EWY9	MLP_ACRMI	reviewed	Mucin-like protein (Fragment)		Acropora millepora (Staghorn coral) (Heteropora millepora)	1594	cell-matrix adhesion [GO:0007160]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160]	calcium ion binding [GO:0005509]	GO:0005509; GO:0007160; GO:0016021
Q5R5C1	UROM_PONAB	reviewed	Uromodulin [Cleaved into: Uromodulin, secreted form]	UMOD	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	641	excretion [GO:0007588]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; ion homeostasis [GO:0050801]; leukocyte cell-cell adhesion [GO:0007159]; metanephric ascending thin limb development [GO:0072218]; metanephric distal convoluted tubule development [GO:0072221]; metanephric thick ascending limb development [GO:0072233]; neutrophil migration [GO:1990266]	anchored component of membrane [GO:0031225]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; ciliary membrane [GO:0060170]; cilium [GO:0005929]; extracellular region [GO:0005576]; spindle pole [GO:0000922]	anchored component of membrane [GO:0031225]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; ciliary membrane [GO:0060170]; cilium [GO:0005929]; extracellular region [GO:0005576]; spindle pole [GO:0000922]; calcium ion binding [GO:0005509]; IgG binding [GO:0019864]; excretion [GO:0007588]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; ion homeostasis [GO:0050801]; leukocyte cell-cell adhesion [GO:0007159]; metanephric ascending thin limb development [GO:0072218]; metanephric distal convoluted tubule development [GO:0072221]; metanephric thick ascending limb development [GO:0072233]; neutrophil migration [GO:1990266]	IgG binding [GO:0019864]; calcium ion binding [GO:0005509]	GO:0000922; GO:0005509; GO:0005576; GO:0005929; GO:0007157; GO:0007159; GO:0007588; GO:0016323; GO:0016324; GO:0019864; GO:0031225; GO:0050801; GO:0060170; GO:0072218; GO:0072221; GO:0072233; GO:1990266
B1WBU4	ZBT8A_RAT	reviewed	Zinc finger and BTB domain-containing protein 8A	Zbtb8a	Rattus norvegicus (Rat)	441		nucleus [GO:0005634]	nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0005634; GO:0046872
P35556	FBN2_HUMAN	reviewed	Fibrillin-2 [Cleaved into: Fibrillin-2 C-terminal peptide]	FBN2	Homo sapiens (Human)	2912	bone trabecula formation [GO:0060346]; camera-type eye development [GO:0043010]; embryonic eye morphogenesis [GO:0048048]; embryonic limb morphogenesis [GO:0030326]; extracellular matrix organization [GO:0030198]; positive regulation of bone mineralization [GO:0030501]; positive regulation of osteoblast differentiation [GO:0045669]; sequestering of TGFbeta in extracellular matrix [GO:0035583]	collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; microfibril [GO:0001527]	collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; microfibril [GO:0001527]; calcium ion binding [GO:0005509]; extracellular matrix constituent conferring elasticity [GO:0030023]; extracellular matrix structural constituent [GO:0005201]; bone trabecula formation [GO:0060346]; camera-type eye development [GO:0043010]; embryonic eye morphogenesis [GO:0048048]; embryonic limb morphogenesis [GO:0030326]; extracellular matrix organization [GO:0030198]; positive regulation of bone mineralization [GO:0030501]; positive regulation of osteoblast differentiation [GO:0045669]; sequestering of TGFbeta in extracellular matrix [GO:0035583]	calcium ion binding [GO:0005509]; extracellular matrix constituent conferring elasticity [GO:0030023]; extracellular matrix structural constituent [GO:0005201]	GO:0001527; GO:0005201; GO:0005509; GO:0005576; GO:0030023; GO:0030198; GO:0030326; GO:0030501; GO:0031012; GO:0035583; GO:0043010; GO:0045669; GO:0048048; GO:0060346; GO:0062023
P31396	HR3_DROME	reviewed	Probable nuclear hormone receptor HR3 (dHR3) (Nuclear receptor subfamily 1 group F member 4)	Hr3 Hr46 CG11823	Drosophila melanogaster (Fruit fly)	487	metamorphosis [GO:0007552]; mushroom body development [GO:0016319]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of development, heterochronic [GO:0040034]	nucleus [GO:0005634]	nucleus [GO:0005634]; nuclear receptor activity [GO:0004879]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]; metamorphosis [GO:0007552]; mushroom body development [GO:0016319]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of development, heterochronic [GO:0040034]	RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; nuclear receptor activity [GO:0004879]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	GO:0000122; GO:0000977; GO:0003707; GO:0004879; GO:0005634; GO:0007552; GO:0008270; GO:0016319; GO:0040034; GO:0045944
D3YXG0	HMCN1_MOUSE	reviewed	Hemicentin-1 (Fibulin-6) (FIBL-6)	Hmcn1	Mus musculus (Mouse)	5634	cell cycle [GO:0007049]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617]	basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cell-cell adherens junction [GO:0005913]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]	basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cell-cell adherens junction [GO:0005913]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; protein homodimerization activity [GO:0042803]; signaling receptor activity [GO:0038023]; cell cycle [GO:0007049]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617]	calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; protein homodimerization activity [GO:0042803]; signaling receptor activity [GO:0038023]	GO:0005509; GO:0005576; GO:0005604; GO:0005913; GO:0005938; GO:0007049; GO:0007156; GO:0007157; GO:0009617; GO:0030054; GO:0032154; GO:0038023; GO:0042803; GO:0050839; GO:0051301; GO:0062023
B2DFG5	DTHAD_DELSH	reviewed	D-threo-3-hydroxyaspartate dehydratase (D-THA DH) (D-THA dehydratase) (EC 4.3.1.27) (Threo-3-hydroxy-D-aspartate ammonia-lyase)	dthadh	Delftia sp. (strain HT23)	380			ammonia-lyase activity [GO:0016841]; pyridoxal phosphate binding [GO:0030170]	ammonia-lyase activity [GO:0016841]; pyridoxal phosphate binding [GO:0030170]	GO:0016841; GO:0030170
Q2VLG6	C163A_CANLF	reviewed	Scavenger receptor cysteine-rich type 1 protein M130 (CD antigen CD163) [Cleaved into: Soluble CD163 (sCD163)]	CD163 M130	Canis lupus familiaris (Dog) (Canis familiaris)	1133	acute-phase response [GO:0006953]	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; scavenger receptor activity [GO:0005044]; acute-phase response [GO:0006953]	scavenger receptor activity [GO:0005044]	GO:0005044; GO:0005576; GO:0006953; GO:0009897; GO:0016021
P28271	ACOC_MOUSE	reviewed	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)	Aco1 Ireb1 Irebp	Mus musculus (Mouse)	889	cellular iron ion homeostasis [GO:0006879]; citrate metabolic process [GO:0006101]; intestinal absorption [GO:0050892]; post-embryonic development [GO:0009791]; regulation of gene expression [GO:0010468]; regulation of translation [GO:0006417]; response to iron(II) ion [GO:0010040]; tricarboxylic acid cycle [GO:0006099]	Golgi apparatus [GO:0005794]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; iron-responsive element binding [GO:0030350]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; cellular iron ion homeostasis [GO:0006879]; citrate metabolic process [GO:0006101]; intestinal absorption [GO:0050892]; post-embryonic development [GO:0009791]; regulation of gene expression [GO:0010468]; regulation of translation [GO:0006417]; response to iron(II) ion [GO:0010040]; tricarboxylic acid cycle [GO:0006099]	3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; RNA binding [GO:0003723]; aconitate hydratase activity [GO:0003994]; iron-responsive element binding [GO:0030350]; iron-sulfur cluster binding [GO:0051536]; mRNA 5'-UTR binding [GO:0048027]; metal ion binding [GO:0046872]	GO:0003723; GO:0003994; GO:0005737; GO:0005739; GO:0005783; GO:0005794; GO:0005829; GO:0006099; GO:0006101; GO:0006417; GO:0006879; GO:0009791; GO:0010040; GO:0010468; GO:0030350; GO:0043231; GO:0046872; GO:0048027; GO:0050892; GO:0051536; GO:0051538; GO:0051539
Q8BIW1	PRUN1_MOUSE	reviewed	Exopolyphosphatase PRUNE1 (EC 3.6.1.1) (PRUNEM1)	Prune1 Prune	Mus musculus (Mouse)	454	polyphosphate catabolic process [GO:0006798]; regulation of microtubule polymerization [GO:0031113]; regulation of neurogenesis [GO:0050767]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; exopolyphosphatase activity [GO:0004309]; inorganic diphosphatase activity [GO:0004427]; metal ion binding [GO:0046872]; phosphatase activity [GO:0016791]; tubulin binding [GO:0015631]; polyphosphate catabolic process [GO:0006798]; regulation of microtubule polymerization [GO:0031113]; regulation of neurogenesis [GO:0050767]	exopolyphosphatase activity [GO:0004309]; inorganic diphosphatase activity [GO:0004427]; metal ion binding [GO:0046872]; phosphatase activity [GO:0016791]; tubulin binding [GO:0015631]	GO:0004309; GO:0004427; GO:0005634; GO:0005737; GO:0005829; GO:0005925; GO:0006798; GO:0015631; GO:0016791; GO:0031113; GO:0046872; GO:0050767
Q0IHU9	PRUN2_XENTR	reviewed	Protein prune homolog 2 (BNIP2 motif-containing molecule at the C-terminal region 1)	Prune2 Bmcc1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	316	apoptotic process [GO:0006915]; polyphosphate catabolic process [GO:0006798]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; exopolyphosphatase activity [GO:0004309]; apoptotic process [GO:0006915]; polyphosphate catabolic process [GO:0006798]	exopolyphosphatase activity [GO:0004309]	GO:0004309; GO:0005737; GO:0006798; GO:0006915
Q6UXD5	SE6L2_HUMAN	reviewed	Seizure 6-like protein 2	SEZ6L2 PSK UNQ1903/PRO4349	Homo sapiens (Human)	910		endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005789; GO:0005886; GO:0016021
P33316	DUT_HUMAN	reviewed	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	DUT	Homo sapiens (Human)	252	DNA replication [GO:0006260]; dUMP biosynthetic process [GO:0006226]; dUTP catabolic process [GO:0046081]; nucleobase-containing compound metabolic process [GO:0006139]; nucleobase-containing small molecule interconversion [GO:0015949]	extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; dUTP diphosphatase activity [GO:0004170]; magnesium ion binding [GO:0000287]; RNA binding [GO:0003723]; DNA replication [GO:0006260]; dUMP biosynthetic process [GO:0006226]; dUTP catabolic process [GO:0046081]; nucleobase-containing compound metabolic process [GO:0006139]; nucleobase-containing small molecule interconversion [GO:0015949]	RNA binding [GO:0003723]; dUTP diphosphatase activity [GO:0004170]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0003723; GO:0004170; GO:0005634; GO:0005654; GO:0005739; GO:0006139; GO:0006226; GO:0006260; GO:0015949; GO:0046081; GO:0070062
O75973	C1QRF_HUMAN	reviewed	C1q-related factor (C1q and tumor necrosis factor-related protein 14) (C1q/TNF-related protein 14) (Complement component 1 Q subcomponent-like 1)	C1QL1 C1QRF CRF CTRP14	Homo sapiens (Human)	258	locomotory behavior [GO:0007626]; maintenance of synapse structure [GO:0099558]; motor learning [GO:0061743]; neuron remodeling [GO:0016322]	climbing fiber [GO:0044301]; collagen trimer [GO:0005581]; cytoplasm [GO:0005737]; presynapse [GO:0098793]; synaptic cleft [GO:0043083]	climbing fiber [GO:0044301]; collagen trimer [GO:0005581]; cytoplasm [GO:0005737]; presynapse [GO:0098793]; synaptic cleft [GO:0043083]; signaling receptor binding [GO:0005102]; locomotory behavior [GO:0007626]; maintenance of synapse structure [GO:0099558]; motor learning [GO:0061743]; neuron remodeling [GO:0016322]	signaling receptor binding [GO:0005102]	GO:0005102; GO:0005581; GO:0005737; GO:0007626; GO:0016322; GO:0043083; GO:0044301; GO:0061743; GO:0098793; GO:0099558
O88281	MEGF6_RAT	reviewed	Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3)	Megf6 Egfl3	Rattus norvegicus (Rat)	1574		extracellular region [GO:0005576]	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]	GO:0005509; GO:0005576
