#
# Output is generated by GenSAS 7.x-5.0
#
#name     : mRNA
#start    : Start of alignment in subject
#end      : End of alignment in subject
#m_start  : Start of alignment in query
#m_end    : End of alignment in query
#al       : Alignment length
#score    : Row score of the match
#evalue   : E value of the match
#identity : Percentage of identical matches
mame	start	end	score	Accession	match_desc	m_start	m_end	E-value	identity	al
19763-Caligus.00g000570.m01	208	293	244	XP_017775665.1	PREDICTED: rab-like protein 6 [Nicrophorus vespilloides]	19	102	2.86948e-23	60.47	86
19763-Caligus.00g000600.m01	4	131	193	XP_001625177.1	predicted protein, partial [Nematostella vectensis]	41	166	1.21612e-16	37.30	126
19763-Caligus.00g000610.m01	1304	1593	811	XP_011880842.1	PREDICTED: tensin-1 isoform X3 [Vollenhovia emeryi]	96	388	5.55014e-95	52.33	300
19763-Caligus.00g000630.m01	272	353	226	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	1	82	1.6394e-21	48.78	82
19763-Caligus.00g000640.m01	78	219	416	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	1	137	4.24597e-50	53.52	142
19763-Caligus.00g000680.m01	84	286	839	XP_013107849.1	PREDICTED: dual specificity mitogen-activated protein kinase kinase 3 [Stomoxys calcitrans]	2	207	1.25712e-111	73.30	206
19763-Caligus.00g000700.m01	62	143	343	XP_023334469.1	transmembrane protein 184B-like [Eurytemora affinis]	43	124	5.34709e-37	74.39	82
19763-Caligus.00g000710.m01	128	213	408	XP_019550103.1	PREDICTED: transmembrane protein 184B isoform X2 [Aedes albopictus]	5	90	8.88307e-48	84.88	86
19763-Caligus.00g000750.m01	324	535	164	XP_017778391.1	PREDICTED: zinc finger protein 532-like, partial [Nicrophorus vespilloides]	75	311	7.05843e-10	26.36	239
19763-Caligus.00g000760.m01	51	223	503	XP_023331910.1	eukaryotic translation initiation factor 4E-like [Eurytemora affinis]	1	173	1.25098e-62	54.91	173
19763-Caligus.00g000770.m01	1	116	435	XP_003427881.1	PREDICTED: lateral signaling target protein 2 homolog isoform X1 [Nasonia vitripennis]	1	117	1.50064e-48	66.67	117
19763-Caligus.00g000780.m01	124	738	709	XP_023337512.1	lateral signaling target protein 2 homolog isoform X2 [Eurytemora affinis]	1	485	6.83563e-82	63.27	226
19763-Caligus.00g000790.m01	8	333	507	XP_011135173.1	uncharacterized protein LOC105180667 [Harpegnathos saltator]	2	199	3.88487e-59	57.52	153
19763-Caligus.00g000800.m01	57	143	163	XP_025158316.1	protein Skeletor, isoforms B/C [Harpegnathos saltator]	2	83	1.62831e-12	39.77	88
19763-Caligus.00g000810.m01	27	134	142	XP_018311841.1	PREDICTED: uncharacterized protein LOC108727992 [Trachymyrmex zeteki]	12	115	1.61957e-09	30.70	114
19763-Caligus.00g000820.m01	106	219	336	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	2	115	1.99464e-38	52.63	114
19763-Caligus.00g000830.m01	220	461	562	XP_009012507.1	hypothetical protein HELRODRAFT_168397 [Helobdella robusta]	2	209	6.11524e-67	47.11	242
19763-Caligus.00g000840.m01	21	246	1013	XP_009023111.1	hypothetical protein HELRODRAFT_162756 [Helobdella robusta]	1	226	6.1092e-139	78.32	226
19763-Caligus.00g000850.m01	83	313	492	XP_025997123.1	uncharacterized protein LOC113005585, partial [Solenopsis invicta]	14	238	4.01193e-58	44.16	231
19763-Caligus.00g000860.m01	1184	1918	2249	XP_023345539.1	myosin heavy chain, muscle-like [Eurytemora affinis]	1	735	0	70.07	735
19763-Caligus.00g000870.m01	1	805	3428	XP_023323458.1	myosin heavy chain, muscle-like [Eurytemora affinis]	1	802	0	78.04	806
19763-Caligus.00g000880.m01	1744	1943	487	XP_018561141.1	myosin heavy chain, muscle isoform X3 [Anoplophora glabripennis]	1	194	2.00355e-54	62.00	200
19763-Caligus.00g000930.m01	468	533	133	XP_008545469.1	PREDICTED: atrial natriuretic peptide-converting enzyme isoform X1 [Microplitis demolitor]	1	67	1.63345e-08	38.81	67
19763-Caligus.00g000950.m01	24	224	194	XP_001634740.1	predicted protein [Nematostella vectensis]	71	255	2.5285e-14	25.85	205
19763-Caligus.00g000960.m01	2782	3708	2929	XP_023321527.1	uncharacterized protein LOC111696211 [Eurytemora affinis]	1	853	0	64.16	929
19763-Caligus.00g000970.m01	1319	1507	648	XP_023323458.1	myosin heavy chain, muscle-like [Eurytemora affinis]	1	189	5.31402e-76	64.55	189
19763-Caligus.00g000980.m01	1598	1920	1076	XP_023323458.1	myosin heavy chain, muscle-like [Eurytemora affinis]	1	323	2.30628e-131	71.21	323
19763-Caligus.00g000990.m01	106	174	180	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	18	88	2.19226e-15	47.89	71
19763-Caligus.00g001000.m01	33	152	189	XP_014760362.1	uncharacterized protein Dana_GF27293 [Drosophila ananassae]	1	120	7.23859e-17	34.17	120
19763-Caligus.00g001010.m01	16	148	319	XP_014768890.1	PREDICTED: uncharacterized protein LOC106868207 [Octopus bimaculoides]	1	133	6.16817e-36	48.87	133
19763-Caligus.00g001040.m01	99	159	259	XP_018360127.1	PREDICTED: uncharacterized protein LOC108759269 [Trachymyrmex cornetzi]	1	61	9.2221e-28	70.49	61
19763-Caligus.00g001050.m01	59	162	182	XP_011068612.1	PREDICTED: uncharacterized protein LOC105154645 isoform X1 [Acromyrmex echinatior]	36	137	1.78156e-15	42.31	104
19763-Caligus.00g001060.m01	187	253	213	XP_023036615.1	uncharacterized protein LOC111519529 isoform X2 [Drosophila willistoni]	1	67	2.0941e-20	53.73	67
19763-Caligus.00g001070.m01	169	225	121	XP_014759738.1	uncharacterized protein Dana_GF26712 [Drosophila ananassae]	1	57	2.12501e-07	42.11	57
19763-Caligus.00g001090.m01	340	468	201	XP_023326073.1	uncharacterized protein DDB_G0286299-like isoform X1 [Eurytemora affinis]	18	151	1.05266e-16	34.33	134
19763-Caligus.00g001100.m01	202	308	193	XP_003091399.1	hypothetical protein CRE_13126 [Caenorhabditis remanei]	3	106	2.06964e-16	38.32	107
19763-Caligus.00g001110.m01	1337	1400	146	XP_015524020.1	PREDICTED: uncharacterized protein LOC107227405 [Neodiprion lecontei]	4	68	1.71172e-10	47.69	65
19763-Caligus.00g001120.m01	1337	1400	146	XP_015524020.1	PREDICTED: uncharacterized protein LOC107227405 [Neodiprion lecontei]	4	68	1.71172e-10	47.69	65
19763-Caligus.00g001180.m01	160	217	197	XP_018307614.1	PREDICTED: uncharacterized protein LOC108725224 [Trachymyrmex zeteki]	62	119	1.77516e-17	56.90	58
19763-Caligus.00g001190.m01	1069	1117	134	XP_021935868.1	LOW QUALITY PROTEIN: transcription intermediary factor 1-alpha-like [Zootermopsis nevadensis]	1	49	3.20237e-09	48.98	49
19763-Caligus.00g001220.m01	837	941	161	XP_023324189.1	uncharacterized protein LOC111698163 [Eurytemora affinis]	303	411	2.19759e-09	33.64	110
19763-Caligus.00g001230.m01	717	825	363	XP_022196428.1	venom dipeptidyl peptidase 4-like isoform X1 [Nilaparvata lugens]	9	117	5.42931e-39	61.47	109
19763-Caligus.00g001250.m01	13	188	290	XP_026737518.1	protein GVQW3-like [Trichoplusia ni]	11	185	7.56639e-30	37.50	176
19763-Caligus.00g001260.m01	1	151	286	XP_012566074.1	PREDICTED: uncharacterized protein LOC105850137, partial [Hydra vulgaris]	1	130	8.31938e-29	41.06	151
19763-Caligus.00g001280.m01	427	498	195	XP_023339062.1	calcium-activated chloride channel regulator 3A-1-like [Eurytemora affinis]	3	74	5.91717e-17	51.39	72
19763-Caligus.00g001300.m01	16	122	218	XP_014768890.1	PREDICTED: uncharacterized protein LOC106868207 [Octopus bimaculoides]	1	107	1.65783e-21	42.99	107
19763-Caligus.00g001340.m01	148	228	159	XP_026333486.1	fragile X mental retardation syndrome-related protein 1 homolog B [Hyposmocoma kahamanoa]	6	83	4.32739e-12	50.62	81
19763-Caligus.00g001350.m01	131	208	204	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	6	83	4.5908e-19	48.72	78
19763-Caligus.00g001360.m01	17	266	427	XP_009023744.1	hypothetical protein HELRODRAFT_177274 [Helobdella robusta]	17	290	8.03647e-47	37.72	281
19763-Caligus.00g001400.m01	28	177	628	XP_018019675.1	PREDICTED: aurora kinase-like [Hyalella azteca]	37	186	2.81036e-80	80.00	150
19763-Caligus.00g001420.m01	32	1236	1762	XP_013411023.1	uncharacterized protein K02A2.6 [Lingula anatina]	92	1277	0	34.57	1235
19763-Caligus.00g001430.m01	88	286	212	XP_018317773.1	PREDICTED: putative uncharacterized protein FLJ37770 [Trachymyrmex zeteki]	40	227	4.47114e-17	31.19	202
19763-Caligus.00g001440.m01	488	611	348	XP_012523366.1	PREDICTED: 85/88 kDa calcium-independent phospholipase A2 [Monomorium pharaonis]	1	125	6.86733e-37	50.39	127
19763-Caligus.00g001450.m01	66	151	284	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	1	86	5.22237e-31	59.30	86
19763-Caligus.00g001470.m01	188	298	159	XP_023324268.1	uncharacterized protein LOC111698219 isoform X1 [Eurytemora affinis]	1	116	2.45494e-11	35.00	120
19763-Caligus.00g001480.m01	210	262	274	XP_022819277.1	LOW QUALITY PROTEIN: serine/threonine-protein kinase NLK2 [Spodoptera litura]	1	53	4.96854e-28	90.57	53
19763-Caligus.00g001510.m01	54	1236	1724	XP_013411023.1	uncharacterized protein K02A2.6 [Lingula anatina]	5	1168	0	34.65	1215
19763-Caligus.00g001520.m01	483	601	160	XP_022182205.1	zinc finger MYM-type protein 1-like [Myzus persicae]	1	121	1.92918e-11	34.71	121
19763-Caligus.00g001540.m01	21	349	529	XP_017486582.1	PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Rhagoletis zephyria]	19	345	2.0105e-62	35.87	329
19763-Caligus.00g001600.m01	157	282	228	XP_017486582.1	PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Rhagoletis zephyria]	1	126	9.44397e-21	38.10	126
19763-Caligus.00g001610.m01	501	939	585	XP_011683484.1	PREDICTED: uncharacterized protein K02A2.6-like [Strongylocentrotus purpuratus]	546	995	2.9599e-60	35.24	454
19763-Caligus.00g001650.m01	61	315	348	XP_015753740.1	PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Acropora digitifera]	1	257	9.68741e-36	35.52	259
19763-Caligus.00g001660.m01	39	183	270	XP_005100472.1	PREDICTED: uncharacterized protein K02A2.6-like [Aplysia californica]	111	254	1.44845e-24	39.86	148
19763-Caligus.00g001770.m01	16	221	294	XP_018368308.1	PREDICTED: uncharacterized protein LOC108764518 [Trachymyrmex cornetzi]	24	227	6.29383e-30	34.13	208
19763-Caligus.00g001790.m01	131	251	250	XP_023348263.1	phospholipase D alpha 1-like [Eurytemora affinis]	1	101	4.72585e-25	44.63	121
19763-Caligus.00g001810.m01	141	200	143	XP_014777903.1	PREDICTED: uncharacterized protein LOC106874624 isoform X1 [Octopus bimaculoides]	11	70	5.13799e-10	48.33	60
19763-Caligus.00g001820.m01	233	284	188	XP_011135173.1	uncharacterized protein LOC105180667 [Harpegnathos saltator]	88	139	3.8111e-15	57.69	52
19763-Caligus.00g001830.m01	1	82	417	XP_022691023.1	histone H3-like, partial [Varroa jacobsoni]	1	82	1.86868e-51	100.00	82
19763-Caligus.00g001840.m01	21	136	601	XP_023030471.1	histone H3 [Leptinotarsa decemlineata]	1	116	7.48471e-80	100.00	116
19763-Caligus.00g001850.m01	255	363	172	XP_002412745.1	reverse transcriptase, putative [Ixodes scapularis]	3	111	2.27242e-13	33.94	109
19763-Caligus.00g001890.m01	24	209	332	XP_025261899.1	general transcription factor II-I repeat domain-containing protein 2A-like [Camponotus floridanus]	1	182	6.31635e-37	34.41	186
19763-Caligus.00g001900.m01	270	310	131	XP_012145740.1	PREDICTED: general transcription factor II-I repeat domain-containing protein 2A-like [Megachile rotundata]	1	41	9.57752e-09	60.98	41
19763-Caligus.00g001910.m01	18	189	156	XP_018314177.1	PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Trachymyrmex zeteki]	16	170	8.77164e-11	27.68	177
19763-Caligus.00g001930.m01	187	709	1494	XP_018494483.1	PREDICTED: uncharacterized protein LOC108864066 [Galendromus occidentalis]	1	521	0	53.82	524
19763-Caligus.00g001940.m01	75	171	320	XP_026320805.1	uncharacterized protein LOC113230911 [Hyposmocoma kahamanoa]	1	97	1.54457e-33	55.67	97
19763-Caligus.00g001970.m01	1195	1372	304	XP_015766805.1	PREDICTED: uncharacterized protein LOC107345587 [Acropora digitifera]	1	179	5.37097e-30	48.04	179
19763-Caligus.00g001990.m01	1	72	307	XP_022691023.1	histone H3-like, partial [Varroa jacobsoni]	1	72	8.03786e-36	90.28	72
19763-Caligus.00g002000.m01	22	103	412	XP_013776728.1	histone H4 [Limulus polyphemus]	22	103	1.17271e-51	100.00	82
19763-Caligus.00g002010.m01	41	95	179	XP_019549980.1	PREDICTED: histone H1-like [Aedes albopictus]	22	76	1.51125e-14	61.82	55
19763-Caligus.00g002020.m01	446	593	361	XP_011680858.1	PREDICTED: uncharacterized protein K02A2.6-like [Strongylocentrotus purpuratus]	5	156	4.2697e-38	44.74	152
19763-Caligus.00g002030.m01	1	363	824	XP_012942049.1	PREDICTED: uncharacterized protein LOC106012751 [Aplysia californica]	1	362	3.59739e-104	47.95	365
19763-Caligus.00g002050.m01	78	219	430	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	1	142	4.08031e-52	53.52	142
19763-Caligus.00g002060.m01	4	307	452	XP_014364675.1	PREDICTED: homocysteine S-methyltransferase YbgG-like [Papilio machaon]	15	308	4.95201e-51	37.19	320
19763-Caligus.00g002070.m01	137	398	948	XP_011069175.1	PREDICTED: 60S ribosomal protein L3 [Acromyrmex echinatior]	32	287	2.35478e-125	76.81	263
19763-Caligus.00g002100.m01	566	619	176	XP_023018272.1	uncharacterized protein LOC111507216 [Leptinotarsa decemlineata]	10	63	2.27178e-14	61.11	54
19763-Caligus.00g002110.m01	15	348	795	XP_014480046.1	PREDICTED: uncharacterized protein LOC106747214 [Dinoponera quadriceps]	10	343	3.33873e-102	45.51	334
19763-Caligus.00g002120.m01	44	84	216	XP_015913120.1	histone H2B [Parasteatoda tepidariorum]	1	41	3.16135e-22	97.56	41
19763-Caligus.00g002130.m01	256	359	351	XP_009011773.1	hypothetical protein HELRODRAFT_156370 [Helobdella robusta]	2	105	4.63896e-39	62.50	104
19763-Caligus.00g002150.m01	109	161	128	XP_020281520.1	proliferation-associated protein 2G4 [Pseudomyrmex gracilis]	1	53	2.45242e-08	69.81	53
19763-Caligus.00g002190.m01	1	137	262	XP_025202389.1	zinc finger BED domain-containing protein 5-like [Melanaphis sacchari]	1	136	2.57148e-27	38.41	138
19763-Caligus.00g002250.m01	709	922	299	XP_025158377.1	uncharacterized protein LOC112589413 [Harpegnathos saltator]	1	213	1.30935e-28	37.44	227
19763-Caligus.00g002260.m01	220	290	313	XP_023329791.1	uncharacterized protein LOC111702364 [Eurytemora affinis]	1	71	5.81161e-35	80.28	71
19763-Caligus.00g002270.m01	54	136	122	XP_014484223.1	PREDICTED: uncharacterized protein LOC106749367 [Dinoponera quadriceps]	12	94	4.61552e-07	31.33	83
19763-Caligus.00g002290.m01	157	231	138	XP_017486582.1	PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Rhagoletis zephyria]	1	75	3.54173e-09	38.67	75
19763-Caligus.00g002320.m01	20	120	132	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	2	101	1.47108e-07	41.58	101
19763-Caligus.00g002330.m01	865	1103	222	XP_026729590.1	uncharacterized protein LOC113495180 [Trichoplusia ni]	4	238	7.3583e-17	28.93	242
19763-Caligus.00g002350.m01	169	224	171	XP_018307614.1	PREDICTED: uncharacterized protein LOC108725224 [Trachymyrmex zeteki]	1	56	1.17824e-14	55.36	56
19763-Caligus.00g002370.m01	83	189	360	XP_018360127.1	PREDICTED: uncharacterized protein LOC108759269 [Trachymyrmex cornetzi]	1	107	2.83313e-42	61.68	107
19763-Caligus.00g002380.m01	2	97	217	XP_026292221.1	signal recognition particle subunit SRP72 [Frankliniella occidentalis]	5	100	1.3366e-19	44.79	96
19763-Caligus.00g002390.m01	117	333	461	XP_015603378.1	signal recognition particle subunit SRP72 [Cephus cinctus]	1	213	3.59521e-51	49.77	219
19763-Caligus.00g002400.m01	406	600	264	XP_023323898.1	signal recognition particle subunit SRP72-like isoform X4 [Eurytemora affinis]	9	187	3.08402e-24	40.59	202
19763-Caligus.00g002420.m01	232	484	272	XP_023322847.1	synaptonemal complex protein 1-like [Eurytemora affinis]	1	195	5.54367e-25	34.78	253
19763-Caligus.00g002430.m01	166	260	317	XP_018025944.1	PREDICTED: NH(3)-dependent NAD(+) synthetase-like [Hyalella azteca]	1	93	2.01566e-35	57.89	95
19763-Caligus.00g002440.m01	107	160	167	XP_016971963.1	PREDICTED: uncharacterized protein LOC108039455 [Drosophila rhopaloa]	1	53	1.49422e-14	61.11	54
19763-Caligus.00g002450.m01	19	323	582	XP_019891895.1	PREDICTED: poly(rC)-binding protein 3 isoform X4 [Musca domestica]	31	316	1.54315e-67	52.72	313
19763-Caligus.00g002490.m01	480	716	210	XP_018006743.1	PREDICTED: uncharacterized protein LOC108664630 [Hyalella azteca]	19	218	8.52214e-17	28.63	248
19763-Caligus.00g002510.m01	21	188	382	XP_018360127.1	PREDICTED: uncharacterized protein LOC108759269 [Trachymyrmex cornetzi]	4	170	1.28888e-44	46.43	168
19763-Caligus.00g002570.m01	133	298	203	XP_018317773.1	PREDICTED: putative uncharacterized protein FLJ37770 [Trachymyrmex zeteki]	3	170	9.524e-17	36.05	172
19763-Caligus.00g002580.m01	80	244	241	XP_002640398.1	Hypothetical protein CBG08444 [Caenorhabditis briggsae]	1	165	7.60787e-23	34.94	166
19763-Caligus.00g002600.m01	284	475	333	XP_015758992.1	PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Acropora digitifera]	1	194	8.53867e-34	39.49	195
19763-Caligus.00g002630.m01	16	117	200	XP_014768890.1	PREDICTED: uncharacterized protein LOC106868207 [Octopus bimaculoides]	1	102	5.42589e-19	45.10	102
19763-Caligus.00g002640.m01	138	222	204	XP_026731848.1	fragile X mental retardation syndrome-related protein 1 [Trichoplusia ni]	1	86	4.11589e-18	51.16	86
19763-Caligus.00g002650.m01	224	311	299	XP_025997123.1	uncharacterized protein LOC113005585, partial [Solenopsis invicta]	2	89	4.26701e-32	62.50	88
19763-Caligus.00g002660.m01	19	160	174	XP_015794241.1	histone-lysine N-methyltransferase SETMAR-like [Tetranychus urticae]	19	151	2.96494e-13	28.67	143
19763-Caligus.00g002710.m01	31	519	615	XP_021948319.1	beta,beta-carotene 15,15'-dioxygenase-like [Folsomia candida]	49	565	2.0756e-70	32.41	543
19763-Caligus.00g002740.m01	90	299	398	XP_003744201.1	PREDICTED: uncharacterized protein LOC100902024 [Galendromus occidentalis]	2	209	1.0977e-44	37.62	210
19763-Caligus.00g002760.m01	25	287	412	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	8	267	6.2817e-46	37.97	266
19763-Caligus.00g002770.m01	16	87	138	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	1	72	1.82718e-09	43.06	72
19763-Caligus.00g002870.m01	88	595	539	XP_015778019.1	PREDICTED: uncharacterized protein K02A2.6-like [Acropora digitifera]	154	681	7.21425e-56	30.27	555
19763-Caligus.00g002880.m01	1	71	178	XP_023025874.1	zinc finger BED domain-containing protein 5-like [Leptinotarsa decemlineata]	1	72	4.26488e-15	51.39	72
19763-Caligus.00g002890.m01	184	494	581	XP_025201805.1	protein ZBED8-like [Melanaphis sacchari]	1	311	6.4233e-69	38.85	314
19763-Caligus.00g002930.m01	125	212	154	XP_011451882.1	PREDICTED: uncharacterized protein K02A2.6-like [Crassostrea gigas]	1	95	7.38845e-11	37.89	95
19763-Caligus.00g002940.m01	23	170	170	XP_025413307.1	histone-lysine N-methyltransferase SETMAR-like [Sipha flava]	8	155	3.0303e-13	31.08	148
19763-Caligus.00g002970.m01	595	976	584	XP_011677008.1	PREDICTED: uncharacterized protein K02A2.6-like [Strongylocentrotus purpuratus]	488	876	3.60882e-60	35.73	389
19763-Caligus.00g002990.m01	80	206	223	XP_025161392.1	uncharacterized protein LOC112590067 [Harpegnathos saltator]	4	120	1.72519e-21	38.58	127
19763-Caligus.00g003000.m01	865	1103	242	XP_026729590.1	uncharacterized protein LOC113495180 [Trichoplusia ni]	4	238	2.44302e-20	28.93	242
19763-Caligus.00g003050.m01	334	600	481	XP_021709044.1	uncharacterized protein LOC5572229 [Aedes aegypti]	1	268	2.2693e-52	47.23	271
19763-Caligus.00g003080.m01	526	732	218	XP_022182205.1	zinc finger MYM-type protein 1-like [Myzus persicae]	1	203	3.3994e-18	29.47	207
19763-Caligus.00g003090.m01	16	102	169	XP_014768890.1	PREDICTED: uncharacterized protein LOC106868207 [Octopus bimaculoides]	1	88	2.21898e-14	43.18	88
19763-Caligus.00g003100.m01	78	584	758	XP_018006743.1	PREDICTED: uncharacterized protein LOC108664630 [Hyalella azteca]	60	593	1.29154e-88	34.36	550
19763-Caligus.00g003110.m01	566	619	178	XP_023018272.1	uncharacterized protein LOC111507216 [Leptinotarsa decemlineata]	46	99	4.06749e-14	61.11	54
19763-Caligus.00g003120.m01	74	220	182	XP_018311841.1	PREDICTED: uncharacterized protein LOC108727992 [Trachymyrmex zeteki]	80	213	3.7976e-14	31.29	147
19763-Caligus.00g003130.m01	16	239	569	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	1	224	4.59098e-70	50.45	224
19763-Caligus.00g003140.m01	696	772	325	XP_023328027.1	uncharacterized protein LOC111701106 [Eurytemora affinis]	1	75	1.37866e-34	75.32	77
19763-Caligus.00g003150.m01	170	288	247	XP_017486265.1	PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Rhagoletis zephyria]	2	118	5.85127e-24	43.70	119
19763-Caligus.00g003160.m01	4	285	463	XP_003386833.1	PREDICTED: uncharacterized protein K02A2.6-like [Amphimedon queenslandica]	1	266	1.20227e-53	38.87	283
19763-Caligus.00g003180.m01	362	551	266	XP_009023117.1	hypothetical protein HELRODRAFT_162766 [Helobdella robusta]	87	268	7.63647e-24	35.35	198
19763-Caligus.00g003220.m01	193	308	338	XP_026481391.1	zinc finger MYM-type protein 1-like [Ctenocephalides felis]	1	116	1.027e-35	48.28	116
19763-Caligus.00g003230.m01	241	353	242	XP_026483030.1	zinc finger MYM-type protein 1-like [Ctenocephalides felis]	1	113	6.57603e-23	42.48	113
19763-Caligus.00g003270.m01	210	315	290	XP_011863810.1	PREDICTED: uncharacterized protein LOC105559817 [Vollenhovia emeryi]	43	148	4.96423e-30	45.28	106
19763-Caligus.00g003280.m01	9	113	158	XP_019886946.1	PREDICTED: uncharacterized protein LOC109610920 [Ooceraea biroi]	1	102	1.23613e-11	37.38	107
19763-Caligus.00g003290.m01	147	224	196	XP_018307614.1	PREDICTED: uncharacterized protein LOC108725224 [Trachymyrmex zeteki]	10	83	6.70862e-18	47.44	78
19763-Caligus.00g003300.m01	106	219	337	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	2	115	1.71334e-38	52.63	114
