Entry	Entry name	Protein names	Gene ontology (biological process)
P07207	NOTCH_DROME	Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein]	"Malpighian tubule tip cell differentiation [GO:0061382]; Notch signaling pathway [GO:0007219]; R1/R6 cell differentiation [GO:0048052]; R3/R4 cell fate commitment [GO:0007464]; R7 cell differentiation [GO:0045466]; actin filament organization [GO:0007015]; anterior/posterior pattern specification [GO:0009952]; asymmetric cell division [GO:0008356]; axon guidance [GO:0007411]; border follicle cell migration [GO:0007298]; cell dedifferentiation [GO:0043697]; cell differentiation [GO:0030154]; cell fate specification [GO:0001708]; chaeta development [GO:0022416]; chaeta morphogenesis [GO:0008407]; compartment boundary maintenance [GO:0060289]; compound eye cone cell fate commitment [GO:0042676]; compound eye development [GO:0048749]; compound eye morphogenesis [GO:0001745]; compound eye retinal cell programmed cell death [GO:0046667]; crystal cell differentiation [GO:0042688]; defense response to insect [GO:0002213]; determination of adult lifespan [GO:0008340]; dorsal appendage formation [GO:0046843]; dorsal closure [GO:0007391]; dorsal/ventral axis specification [GO:0009950]; dorsal/ventral lineage restriction, imaginal disc [GO:0007451]; dorsal/ventral pattern formation, imaginal disc [GO:0007450]; ectoderm development [GO:0007398]; embryonic crystal cell differentiation [GO:0035165]; embryonic hemopoiesis [GO:0035162]; epithelial cell proliferation involved in Malpighian tubule morphogenesis [GO:0061331]; epithelial cell type specification, open tracheal system [GO:0035153]; establishment of ommatidial planar polarity [GO:0042067]; eye-antennal disc development [GO:0035214]; eye-antennal disc morphogenesis [GO:0007455]; female germ-line stem cell population maintenance [GO:0036099]; foregut morphogenesis [GO:0007440]; formation of a compartment boundary [GO:0060288]; germ-line stem cell population maintenance [GO:0030718]; germ-line stem-cell niche homeostasis [GO:0060250]; germarium-derived egg chamber formation [GO:0007293]; germarium-derived female germ-line cyst encapsulation [GO:0030708]; glial cell differentiation [GO:0010001]; glial cell fate determination [GO:0007403]; glial cell migration [GO:0008347]; hemocyte proliferation [GO:0035172]; imaginal disc growth [GO:0007446]; imaginal disc pattern formation [GO:0007447]; imaginal disc-derived leg joint morphogenesis [GO:0016348]; imaginal disc-derived leg segmentation [GO:0036011]; imaginal disc-derived male genitalia morphogenesis [GO:0048803]; imaginal disc-derived wing margin morphogenesis [GO:0008587]; imaginal disc-derived wing morphogenesis [GO:0007476]; imaginal disc-derived wing vein specification [GO:0007474]; intestinal stem cell homeostasis [GO:0036335]; lamellocyte differentiation [GO:0035171]; larval lymph gland hemopoiesis [GO:0035167]; lateral inhibition [GO:0046331]; leg disc morphogenesis [GO:0007478]; long-term memory [GO:0007616]; lymph gland development [GO:0048542]; mesoderm development [GO:0007498]; morphogenesis of an epithelial fold [GO:0060571]; morphogenesis of follicular epithelium [GO:0016333]; motor neuron axon guidance [GO:0008045]; muscle cell cellular homeostasis [GO:0046716]; muscle cell fate determination [GO:0007521]; negative regulation of JNK cascade [GO:0046329]; negative regulation of cell-cell adhesion mediated by cadherin [GO:2000048]; negative regulation of compound eye photoreceptor development [GO:0045316]; negative regulation of gene expression [GO:0010629]; negative regulation of lamellocyte differentiation [GO:0035204]; negative regulation of neurogenesis [GO:0050768]; nervous system process [GO:0050877]; neuroblast development [GO:0014019]; neuroblast fate determination [GO:0007400]; neuroblast proliferation [GO:0007405]; neuron fate determination [GO:0048664]; neuron fate specification [GO:0048665]; neuronal stem cell population maintenance [GO:0097150]; oocyte anterior/posterior axis specification [GO:0007314]; oocyte localization involved in germarium-derived egg chamber formation [GO:0030720]; oogenesis [GO:0048477]; ovarian follicle cell development [GO:0030707]; ovarian follicle cell migration [GO:0007297]; ovarian follicle cell stalk formation [GO:0030713]; peripheral nervous system development [GO:0007422]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of crystal cell differentiation [GO:0042691]; positive regulation of gene expression [GO:0010628]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of cardioblast cell fate specification [GO:0042686]; regulation of cell differentiation [GO:0045595]; regulation of crystal cell differentiation [GO:0042689]; regulation of filopodium assembly [GO:0051489]; regulation of glycolytic process [GO:0006110]; regulation of growth [GO:0040008]; regulation of mitotic cell cycle [GO:0007346]; regulation of neuroblast proliferation [GO:1902692]; regulation of neurogenesis [GO:0050767]; regulation of stem cell division [GO:2000035]; response to symbiont [GO:0009608]; retinal cell programmed cell death [GO:0046666]; second mitotic wave involved in compound eye morphogenesis [GO:0016330]; sensory organ development [GO:0007423]; sensory organ precursor cell fate determination [GO:0016360]; skeletal muscle tissue development [GO:0007519]; stem cell differentiation [GO:0048863]; ventral cord development [GO:0007419]; wing disc dorsal/ventral pattern formation [GO:0048190]; wing disc pattern formation [GO:0035222]; wing disc proximal/distal pattern formation [GO:0007473]"
Q6CNX6	ATG20_KLULA	Autophagy-related protein 20	autophagy of mitochondrion [GO:0000422]; early endosome to Golgi transport [GO:0034498]; macroautophagy [GO:0016236]; protein localization by the Cvt pathway [GO:0032258]; protein transport [GO:0015031]
Q8NAG6	ANKL1_HUMAN	Ankyrin repeat and LEM domain-containing protein 1 (EC 3.1.-.-) (Ankyrin repeat domain-containing protein 41) (LEM-domain containing protein 3)	DNA repair [GO:0006281]; nucleic acid phosphodiester bond hydrolysis [GO:0090305]; positive regulation of response to DNA damage stimulus [GO:2001022]; protein export from nucleus [GO:0006611]
Q1RGR1	CLPB_RICBR	Chaperone protein ClpB	protein metabolic process [GO:0019538]; protein refolding [GO:0042026]; response to heat [GO:0009408]
Q04960	DNJH_CUCSA	DnaJ protein homolog (DNAJ-1)	protein folding [GO:0006457]; response to heat [GO:0009408]
P62997	TRA2B_RAT	"Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (RA301) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)"	"mRNA splicing, via spliceosome [GO:0000398]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; response to reactive oxygen species [GO:0000302]"
Q54BT5	ABCA3_DICDI	ABC transporter A family member 3 (ABC transporter ABCA.3)	lipid transport [GO:0006869]; sorocarp morphogenesis [GO:0031288]
P40454	PTPA1_YEAST	Serine/threonine-protein phosphatase 2A activator 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase PTPA-1) (PPIase PTPA-1) (Rotamase PTPA-1) (Phosphotyrosyl phosphatase activator 1)	DNA repair [GO:0006281]; G1/S transition of mitotic cell cycle [GO:0000082]; mitotic spindle organization [GO:0007052]; regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]; response to osmotic stress [GO:0006970]
O64728	STI_ARATH	Protein STICHEL	DNA-dependent DNA replication [GO:0006261]; trichome branching [GO:0010091]; trichome differentiation [GO:0010026]
P82611	ACON_CANAL	"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)"	induction by symbiont of host defense response [GO:0044416]; tricarboxylic acid cycle [GO:0006099]
Q9GQF1	JIP3_DROME	JNK-interacting protein 3 (Protein sunday driver)	activation of JUN kinase activity [GO:0007257]; axo-dendritic transport [GO:0008088]; regulation of JNK cascade [GO:0046328]; vesicle-mediated transport [GO:0016192]
Q5NTB3	FA11_BOVIN	Coagulation factor XI (FXI) (EC 3.4.21.27) (Plasma thromboplastin antecedent) (PTA) [Cleaved into: Coagulation factor XIa heavy chain; Coagulation factor XIa light chain]	blood coagulation [GO:0007596]
Q9Z6E4	CLPB_STRAL	Chaperone protein ClpB	protein metabolic process [GO:0019538]; protein refolding [GO:0042026]; response to heat [GO:0009408]
Q4WVM1	RAD5_ASPFU	DNA repair protein rad5 (EC 3.6.4.-)	DNA repair [GO:0006281]
P70618	MK14_RAT	Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (CRK1) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha)	apoptotic process [GO:0006915]; cellular response to organic substance [GO:0071310]; intracellular signal transduction [GO:0035556]; p38MAPK cascade [GO:0038066]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of myoblast fusion [GO:1901741]; positive regulation of myotube differentiation [GO:0010831]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of gene expression [GO:0010468]; regulation of transcription by RNA polymerase II [GO:0006357]; response to glucose [GO:0009749]; stress-activated MAPK cascade [GO:0051403]
B4H732	SRRT_DROPE	Serrate RNA effector molecule homolog (Arsenite-resistance protein 2 homolog)	RNA interference [GO:0016246]; mRNA processing [GO:0006397]; primary miRNA processing [GO:0031053]
Q28WQ8	SRRT_DROPS	Serrate RNA effector molecule homolog (Arsenite-resistance protein 2 homolog)	RNA interference [GO:0016246]; conversion of ds siRNA to ss siRNA involved in RNA interference [GO:0033168]; defense response to Gram-negative bacterium [GO:0050829]; mRNA processing [GO:0006397]; negative regulation of viral genome replication [GO:0045071]; primary miRNA processing [GO:0031053]
Q57715	PORA_METJA	Pyruvate synthase subunit PorA (EC 1.2.7.1) (Pyruvate oxidoreductase alpha chain) (POR) (Pyruvic-ferredoxin oxidoreductase subunit alpha)	response to oxidative stress [GO:0006979]
P01860	IGHG3_HUMAN	Immunoglobulin heavy constant gamma 3 (HDC) (Heavy chain disease protein) (Ig gamma-3 chain C region)	"B cell receptor signaling pathway [GO:0050853]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of B cell activation [GO:0050871]; regulation of complement activation [GO:0030449]; retina homeostasis [GO:0001895]"
Q49WA5	ADDB_STAS1	ATP-dependent helicase/deoxyribonuclease subunit B (EC 3.1.-.-) (EC 3.6.4.12) (ATP-dependent helicase/nuclease AddB)	double-strand break repair via homologous recombination [GO:0000724]
Q92093	VIT_ONCMY	Vitellogenin (VTG) [Cleaved into: Lipovitellin I (LVI); Phosvitin (PV); Lipovitellin II (LVII)]	cellular response to heat [GO:0034605]; response to estradiol [GO:0032355]; response to insulin [GO:0032868]; response to polycyclic arene [GO:1903165]
A9LNK9	CPSF_ARATH	30-kDa cleavage and polyadenylation specificity factor 30 (EC 3.1.21.-) (Protein OXIDATIVE STRESS TOLERANT 6) (Zinc finger CCCH domain-containing protein 11) (AtC3H11)	RNA processing [GO:0006396]; mRNA 3'-end processing [GO:0031124]; mRNA polyadenylation [GO:0006378]; plant-type hypersensitive response [GO:0009626]; positive regulation of plant-type hypersensitive response [GO:0034052]; positive regulation of programmed cell death [GO:0043068]; regulation of mRNA polyadenylation [GO:1900363]; regulation of salicylic acid mediated signaling pathway [GO:2000031]; response to oxidative stress [GO:0006979]
C0Z887	UNG_BREBN	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	base-excision repair [GO:0006284]
Q4WKB5	MPH1_ASPFU	ATP-dependent DNA helicase mph1 (EC 3.6.4.12) (FANCM-like protein 1)	DNA repair [GO:0006281]
A0PJW8	DAPL1_HUMAN	Death-associated protein-like 1 (Early epithelial differentiation-associated protein)	apoptotic signaling pathway [GO:0097190]; cell differentiation [GO:0030154]; cellular response to amino acid starvation [GO:0034198]; negative regulation of autophagy [GO:0010507]
P0C0L7	PROP_ECOLI	Proline/betaine transporter (Proline porter II) (PPII)	amino acid transport [GO:0006865]; cellular hyperosmotic salinity response [GO:0071475]; osmosensory signaling pathway [GO:0007231]; proline import across plasma membrane [GO:1905647]
Q9SR37	BGL23_ARATH	Beta-glucosidase 23 (AtBGLU23) (EC 3.2.1.21) (Protein PHOSPHATE STARVATION-RESPONSE 3.1)	ER body organization [GO:0080119]; carbohydrate metabolic process [GO:0005975]; cellular response to cold [GO:0070417]; glucosinolate catabolic process [GO:0019762]; glucosinolate metabolic process [GO:0019760]; indole glucosinolate catabolic process [GO:0042344]; indole glucosinolate metabolic process [GO:0042343]; negative regulation of defense response [GO:0031348]; response to cytokinin [GO:0009735]; response to osmotic stress [GO:0006970]; response to salt stress [GO:0009651]; response to symbiotic fungus [GO:0009610]
Q2H0G2	DCL1_CHAGB	Dicer-like protein 1 [Includes: Endoribonuclease DCL1 (EC 3.1.26.-); ATP-dependent helicase DCL1 (EC 3.6.4.-)]	RNA processing [GO:0006396]; defense response to virus [GO:0051607]; regulation of defense response to virus [GO:0050688]
P97604	IL15_RAT	Interleukin-15 (IL-15)	NK T cell proliferation [GO:0001866]; aging [GO:0007568]; angiogenesis [GO:0001525]; cell maturation [GO:0048469]; cellular response to vitamin D [GO:0071305]; extrathymic T cell selection [GO:0045062]; hyaluronan metabolic process [GO:0030212]; immune response [GO:0006955]; inflammatory response [GO:0006954]; interleukin-15-mediated signaling pathway [GO:0035723]; lymph node development [GO:0048535]; macrophage differentiation [GO:0030225]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of smooth muscle cell proliferation [GO:0048662]; neutrophil activation [GO:0042119]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of immune response [GO:0050778]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of natural killer cell differentiation [GO:0032825]; positive regulation of natural killer cell proliferation [GO:0032819]; positive regulation of phagocytosis [GO:0050766]; positive regulation of protein O-linked glycosylation [GO:1904100]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; regulation of T cell differentiation [GO:0045580]; regulation of defense response to virus by host [GO:0050691]; response to nutrient levels [GO:0031667]; skeletal muscle atrophy [GO:0014732]; tyrosine phosphorylation of STAT protein [GO:0007260]
Q9WTK5	NFKB2_MOUSE	Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) [Cleaved into: Nuclear factor NF-kappa-B p52 subunit]	"NIK/NF-kappaB signaling [GO:0038061]; aging [GO:0007568]; extracellular matrix organization [GO:0030198]; follicular dendritic cell differentiation [GO:0002268]; germinal center formation [GO:0002467]; lymph node development [GO:0048535]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; response to cytokine [GO:0034097]; response to lipopolysaccharide [GO:0032496]; rhythmic process [GO:0048511]; spleen development [GO:0048536]"
Q6CUU2	TOF1_KLULA	Topoisomerase 1-associated factor 1	DNA repair [GO:0006281]; DNA replication checkpoint [GO:0000076]; maintenance of DNA repeat elements [GO:0043570]; meiotic cell cycle [GO:0051321]; mitotic sister chromatid cohesion [GO:0007064]; replication fork arrest [GO:0043111]; replication fork protection [GO:0048478]
Q08DJ8	HSF1_BOVIN	Heat shock factor protein 1 (HSF 1) (Heat shock transcription factor 1) (HSTF 1)	DNA repair [GO:0006281]; MAPK cascade [GO:0000165]; cellular protein-containing complex assembly [GO:0034622]; cellular response to cadmium ion [GO:0071276]; cellular response to copper ion [GO:0071280]; cellular response to diamide [GO:0072738]; cellular response to gamma radiation [GO:0071480]; cellular response to heat [GO:0034605]; cellular response to sodium arsenite [GO:1903936]; cellular response to unfolded protein [GO:0034620]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of mRNA polyadenylation [GO:1900365]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to heat stress [GO:0061408]; protein homooligomerization [GO:0051260]; protein homotrimerization [GO:0070207]; regulation of cellular response to heat [GO:1900034]; regulation of protein heterodimerization activity [GO:0043497]
Q6Z1J6	OLA1_ORYSJ	Obg-like ATPase 1 (EC 3.6.5.-) (Ribosome-binding ATPase YchF) (OsYchF1)	negative regulation of defense response to bacterium [GO:1900425]; negative regulation of response to salt stress [GO:1901001]; response to cadmium ion [GO:0046686]; response to salt stress [GO:0009651]
Q95Q89	SIR24_CAEEL	NAD-dependent protein deacetylase sir-2.4 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 4) (SIR2-like protein 4)	P granule assembly [GO:1903863]; histone H3 deacetylation [GO:0070932]; negative regulation of transcription by RNA polymerase II [GO:0000122]; protein deacetylation [GO:0006476]; response to heat [GO:0009408]
P70617	NINJ1_RAT	Ninjurin-1 (Nerve injury-induced protein 1)	cell adhesion [GO:0007155]; hyaloid vascular plexus regression [GO:1990384]; positive regulation of cell-matrix adhesion [GO:0001954]; tissue regeneration [GO:0042246]
Q9FNI6	SM3L2_ARATH	DNA repair protein RAD5A (EC 3.6.4.-) (Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 2) (SMARCA3-like protein 2) (RAD5 homolog A) (AtRAD5a)	DNA mediated transformation [GO:0009294]; chromatin organization [GO:0006325]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via synthesis-dependent strand annealing [GO:0045003]; interstrand cross-link repair [GO:0036297]
Q66HH4	HERP2_RAT	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein	endoplasmic reticulum unfolded protein response [GO:0030968]; spermatogenesis [GO:0007283]
A2BTJ7	RUVB_PROMS	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]
P29461	PTP2_YEAST	Tyrosine-protein phosphatase 2 (EC 3.1.3.48) (Protein-tyrosine phosphatase 2) (PTPase 2)	inactivation of MAPK activity [GO:0000188]; maintenance of protein location in nucleus [GO:0051457]; peptidyl-tyrosine dephosphorylation [GO:0035335]; protein dephosphorylation [GO:0006470]; regulation of sporulation [GO:0043937]
Q9SUM4	VIL2_ARATH	VIN3-like protein 2 (Vernalization5/VIN3-like protein 1)	"circadian regulation of gene expression [GO:0032922]; flower development [GO:0009908]; positive regulation of histone H3-K9 dimethylation [GO:1900111]; regulation of short-day photoperiodism, flowering [GO:0048587]; response to cold [GO:0009409]; vegetative to reproductive phase transition of meristem [GO:0010228]"
Q00416	SEN1_YEAST	Helicase SEN1 (EC 3.6.4.-) (tRNA-splicing endonuclease positive effector)	"DNA-dependent DNA replication maintenance of fidelity [GO:0045005]; DNA-templated transcription, termination [GO:0006353]; cell redox homeostasis [GO:0045454]; mRNA 3'-end processing [GO:0031124]; mRNA polyadenylation [GO:0006378]; rRNA processing [GO:0006364]; regulation of transcription from RNA polymerase II promoter in response to DNA damage [GO:1990248]; snRNA processing [GO:0016180]; snoRNA 3'-end processing [GO:0031126]; tRNA processing [GO:0008033]; termination of RNA polymerase II transcription [GO:0006369]; transcription-coupled nucleotide-excision repair [GO:0006283]"
Q13310	PABP4_HUMAN	Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP)	RNA catabolic process [GO:0006401]; RNA processing [GO:0006396]; blood coagulation [GO:0007596]; myeloid cell development [GO:0061515]; regulation of mRNA stability [GO:0043488]; translation [GO:0006412]
Q9DGE0	MP2K6_DANRE	Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (Mitogen-activated protein kinase kinase 3) (zMKK3)	activation of MAPK activity [GO:0000187]; activation of protein kinase activity [GO:0032147]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]
A1A4L5	ALKB8_BOVIN	Alkylated DNA repair protein alkB homolog 8 (EC 1.14.11.-) (Probable alpha-ketoglutarate-dependent dioxygenase ABH8) (S-adenosyl-L-methionine-dependent tRNA methyltransferase ABH8) (tRNA (carboxymethyluridine(34)-5-O)-methyltransferase ABH8) (EC 2.1.1.-) (EC 2.1.1.229)	cellular response to DNA damage stimulus [GO:0006974]; oxidation-reduction process [GO:0055114]; tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]
P0C198	CHK1_USTMA	Serine/threonine-protein kinase CHK1 (EC 2.7.11.1) (Checkpoint kinase 1)	mitotic DNA replication checkpoint [GO:0033314]; mitotic G2 DNA damage checkpoint [GO:0007095]; signal transduction involved in mitotic DNA damage checkpoint [GO:1902402]
Q9UHC1	MLH3_HUMAN	DNA mismatch repair protein Mlh3 (MutL protein homolog 3)	female meiosis I [GO:0007144]; male meiotic nuclear division [GO:0007140]; mismatch repair [GO:0006298]; protein localization [GO:0008104]; reciprocal meiotic recombination [GO:0007131]; synaptonemal complex assembly [GO:0007130]
Q5AXH3	TOF1_EMENI	Topoisomerase 1-associated factor 1	DNA repair [GO:0006281]; DNA replication checkpoint [GO:0000076]; meiotic cell cycle [GO:0051321]; replication fork arrest [GO:0043111]; replication fork protection [GO:0048478]
A4G8D1	DNAJ_HERAR	Chaperone protein DnaJ	DNA replication [GO:0006260]; protein folding [GO:0006457]; response to heat [GO:0009408]
